,date,time,price,change,volume
0,2025-12-12,09:00:00,1681000,12000,271
1,2025-12-12,09:01:00,1693000,24000,1252
2,2025-12-12,09:02:00,1685000,16000,1597
3,2025-12-12,09:03:00,1679000,10000,1769
4,2025-12-12,09:04:00,1682000,13000,1822
5,2025-12-12,09:05:00,1679000,10000,2012
6,2025-12-12,09:06:00,1682000,13000,2243
7,2025-12-12,09:07:00,1683000,14000,2344
8,2025-12-12,09:08:00,1680000,11000,2433
9,2025-12-12,09:09:00,1677000,8000,2637
10,2025-12-12,09:10:00,1670000,1000,3021
11,2025-12-12,09:11:00,1671000,2000,3138
12,2025-12-12,09:12:00,1670000,1000,3271
13,2025-12-12,09:13:00,1673000,4000,3351
14,2025-12-12,09:14:00,1677000,8000,3383
15,2025-12-12,09:15:00,1676000,7000,3477
16,2025-12-12,09:16:00,1672000,3000,3583
17,2025-12-12,09:17:00,1671000,2000,3658
18,2025-12-12,09:18:00,1670000,1000,3771
19,2025-12-12,09:19:00,1672000,3000,3953
20,2025-12-12,09:20:00,1673000,4000,4064
21,2025-12-12,09:21:00,1672000,3000,4130
22,2025-12-12,09:22:00,1672000,3000,4191
23,2025-12-12,09:23:00,1674000,5000,4292
24,2025-12-12,09:24:00,1674000,5000,4863
25,2025-12-12,09:25:00,1669000,0,5101
26,2025-12-12,09:26:00,1669000,0,5253
27,2025-12-12,09:27:00,1671000,2000,5417
28,2025-12-12,09:28:00,1672000,3000,5452
29,2025-12-12,09:29:00,1673000,4000,5466
30,2025-12-12,09:30:00,1674000,5000,5531
31,2025-12-12,09:31:00,1676000,7000,5691
32,2025-12-12,09:32:00,1677000,8000,5730
33,2025-12-12,09:33:00,1676000,7000,5843
34,2025-12-12,09:34:00,1675000,6000,5908
35,2025-12-12,09:35:00,1683000,14000,6232
36,2025-12-12,09:36:00,1684000,15000,6377
37,2025-12-12,09:37:00,1685000,16000,6464
38,2025-12-12,09:38:00,1680000,11000,6732
39,2025-12-12,09:39:00,1683000,14000,6785
40,2025-12-12,09:40:00,1684000,15000,6824
41,2025-12-12,09:41:00,1685000,16000,6934
42,2025-12-12,09:42:00,1685000,16000,7030
43,2025-12-12,09:43:00,1686000,17000,7104
44,2025-12-12,09:44:00,1686000,17000,7169
45,2025-12-12,09:45:00,1685000,16000,7240
46,2025-12-12,09:46:00,1686000,17000,7521
47,2025-12-12,09:47:00,1687000,18000,7587
48,2025-12-12,09:48:00,1689000,20000,7951
49,2025-12-12,09:49:00,1693000,24000,8724
50,2025-12-12,09:50:00,1698000,29000,9984
51,2025-12-12,09:51:00,1697000,28000,10339
52,2025-12-12,09:52:00,1696000,27000,10647
53,2025-12-12,09:53:00,1697000,28000,10830
54,2025-12-12,09:54:00,1695000,26000,10962
55,2025-12-12,09:55:00,1691000,22000,11089
56,2025-12-12,09:56:00,1688000,19000,11361
57,2025-12-12,09:57:00,1690000,21000,11444
58,2025-12-12,09:58:00,1686000,17000,11495
59,2025-12-12,09:59:00,1686000,17000,11572
60,2025-12-12,10:00:00,1687000,18000,11608
61,2025-12-12,10:01:00,1684000,15000,11710
62,2025-12-12,10:02:00,1683000,14000,11792
63,2025-12-12,10:03:00,1683000,14000,11900
64,2025-12-12,10:04:00,1684000,15000,12058
65,2025-12-12,10:05:00,1686000,17000,12105
66,2025-12-12,10:06:00,1686000,17000,12151
67,2025-12-12,10:07:00,1681000,12000,12203
68,2025-12-12,10:08:00,1682000,13000,12272
69,2025-12-12,10:09:00,1681000,12000,12315
70,2025-12-12,10:10:00,1684000,15000,12376
71,2025-12-12,10:11:00,1683000,14000,12403
72,2025-12-12,10:12:00,1681000,12000,12491
73,2025-12-12,10:13:00,1683000,14000,12532
74,2025-12-12,10:14:00,1682000,13000,12549
75,2025-12-12,10:15:00,1683000,14000,12581
76,2025-12-12,10:16:00,1682000,13000,12617
77,2025-12-12,10:17:00,1681000,12000,12631
78,2025-12-12,10:18:00,1684000,15000,12676
79,2025-12-12,10:19:00,1685000,16000,12697
80,2025-12-12,10:20:00,1685000,16000,12771
81,2025-12-12,10:21:00,1687000,18000,12818
82,2025-12-12,10:22:00,1684000,15000,12866
83,2025-12-12,10:23:00,1685000,16000,12889
