,date,time,price,change,volume
0,2024-10-29,09:00:00,134600,600,6311
1,2024-10-29,09:01:00,134600,600,8519
2,2024-10-29,09:02:00,134800,800,9237
3,2024-10-29,09:03:00,134500,500,10340
4,2024-10-29,09:04:00,134400,400,11165
5,2024-10-29,09:05:00,134300,300,11915
6,2024-10-29,09:06:00,134400,400,12124
7,2024-10-29,09:07:00,134200,200,12979
8,2024-10-29,09:08:00,134800,800,15485
9,2024-10-29,09:09:00,135300,1300,19414
10,2024-10-29,09:10:00,135600,1600,22653
11,2024-10-29,09:11:00,135600,1600,24395
12,2024-10-29,09:12:00,136000,2000,27320
13,2024-10-29,09:13:00,135700,1700,29082
14,2024-10-29,09:14:00,135300,1300,30966
15,2024-10-29,09:15:00,135300,1300,31266
16,2024-10-29,09:16:00,135300,1300,31865
17,2024-10-29,09:17:00,135200,1200,33710
18,2024-10-29,09:18:00,135500,1500,35283
19,2024-10-29,09:19:00,135200,1200,35777
20,2024-10-29,09:20:00,135200,1200,35886
21,2024-10-29,09:21:00,135100,1100,37224
22,2024-10-29,09:22:00,135100,1100,37364
23,2024-10-29,09:23:00,135200,1200,37519
24,2024-10-29,09:24:00,135100,1100,37643
25,2024-10-29,09:25:00,135100,1100,37861
26,2024-10-29,09:26:00,135100,1100,37926
27,2024-10-29,09:27:00,135200,1200,40045
28,2024-10-29,09:28:00,135200,1200,40980
29,2024-10-29,09:29:00,135200,1200,41024
30,2024-10-29,09:30:00,135200,1200,41399
31,2024-10-29,09:31:00,135400,1400,42353
32,2024-10-29,09:32:00,135400,1400,43161
33,2024-10-29,09:33:00,135300,1300,43955
34,2024-10-29,09:34:00,135200,1200,44031
35,2024-10-29,09:35:00,135300,1300,44200
36,2024-10-29,09:36:00,135200,1200,44838
37,2024-10-29,09:37:00,135200,1200,45269
38,2024-10-29,09:38:00,135200,1200,45956
39,2024-10-29,09:39:00,135100,1100,46544
40,2024-10-29,09:40:00,135300,1300,46775
41,2024-10-29,09:41:00,135400,1400,46967
42,2024-10-29,09:42:00,135300,1300,47024
43,2024-10-29,09:43:00,135200,1200,47493
44,2024-10-29,09:44:00,135300,1300,47878
45,2024-10-29,09:45:00,135200,1200,48290
46,2024-10-29,09:46:00,135300,1300,48384
47,2024-10-29,09:47:00,135200,1200,48622
48,2024-10-29,09:48:00,135100,1100,49037
