,date,time,price,change,volume
0,2025-09-22,09:00:00,198800,1100,13629
1,2025-09-22,09:01:00,198900,1200,22256
2,2025-09-22,09:02:00,198800,1100,26519
3,2025-09-22,09:03:00,199200,1500,35374
4,2025-09-22,09:04:00,199700,2000,45951
5,2025-09-22,09:05:00,200000,2300,68234
6,2025-09-22,09:06:00,200500,2800,74691
7,2025-09-22,09:07:00,200500,2800,77312
8,2025-09-22,09:08:00,200000,2300,80106
9,2025-09-22,09:09:00,200250,2550,81358
10,2025-09-22,09:10:00,200500,2800,86166
11,2025-09-22,09:11:00,201000,3300,99976
12,2025-09-22,09:12:00,200250,2550,101748
13,2025-09-22,09:13:00,200500,2800,104143
14,2025-09-22,09:14:00,200500,2800,105192
15,2025-09-22,09:15:00,200500,2800,109242
16,2025-09-22,09:16:00,201000,3300,113964
17,2025-09-22,09:17:00,202000,4300,118870
18,2025-09-22,09:18:00,201500,3800,122238
19,2025-09-22,09:19:00,201500,3800,124096
20,2025-09-22,09:20:00,201500,3800,125554
21,2025-09-22,09:21:00,201000,3300,129113
22,2025-09-22,09:22:00,201000,3300,130014
23,2025-09-22,09:23:00,200500,2800,131417
24,2025-09-22,09:24:00,200500,2800,133373
25,2025-09-22,09:25:00,201000,3300,135960
26,2025-09-22,09:26:00,201500,3800,136513
27,2025-09-22,09:27:00,201500,3800,137440
28,2025-09-22,09:28:00,201500,3800,138202
29,2025-09-22,09:29:00,201500,3800,138869
30,2025-09-22,09:30:00,202000,4300,143406
31,2025-09-22,09:31:00,202500,4800,153895
32,2025-09-22,09:32:00,202500,4800,156102
33,2025-09-22,09:33:00,202000,4300,161084
34,2025-09-22,09:34:00,201500,3800,164809
35,2025-09-22,09:35:00,201500,3800,165461
36,2025-09-22,09:36:00,201500,3800,167560
37,2025-09-22,09:37:00,201500,3800,168129
38,2025-09-22,09:38:00,201000,3300,168533
39,2025-09-22,09:39:00,201500,3800,169064
40,2025-09-22,09:40:00,201500,3800,169842
41,2025-09-22,09:41:00,201500,3800,170339
42,2025-09-22,09:42:00,201500,3800,170954
43,2025-09-22,09:43:00,201500,3800,172017
44,2025-09-22,09:44:00,201500,3800,173633
45,2025-09-22,09:45:00,202000,4300,180962
46,2025-09-22,09:46:00,202000,4300,182851
47,2025-09-22,09:47:00,202000,4300,184284
48,2025-09-22,09:48:00,201500,3800,185721
49,2025-09-22,09:49:00,201500,3800,188113
50,2025-09-22,09:50:00,202000,4300,188800
51,2025-09-22,09:51:00,201500,3800,189201
52,2025-09-22,09:52:00,202000,4300,189639
53,2025-09-22,09:53:00,202000,4300,189905
54,2025-09-22,09:54:00,201500,3800,194405
55,2025-09-22,09:55:00,201500,3800,194648
56,2025-09-22,09:56:00,201000,3300,194838
