,date,time,price,change,volume
0,2025-04-23,09:00:00,19130,280,21207
1,2025-04-23,09:01:00,19180,330,37190
2,2025-04-23,09:02:00,19230,380,62221
3,2025-04-23,09:03:00,19240,390,73781
4,2025-04-23,09:04:00,19300,450,101505
5,2025-04-23,09:05:00,19360,510,128414
6,2025-04-23,09:06:00,19360,510,143550
7,2025-04-23,09:07:00,19360,510,152582
8,2025-04-23,09:08:00,19370,520,158325
9,2025-04-23,09:09:00,19300,450,164906
10,2025-04-23,09:10:00,19290,440,172532
11,2025-04-23,09:11:00,19290,440,175848
12,2025-04-23,09:12:00,19280,430,180188
13,2025-04-23,09:13:00,19310,460,184124
14,2025-04-23,09:14:00,19380,530,197218
15,2025-04-23,09:15:00,19350,500,207817
16,2025-04-23,09:16:00,19330,480,210404
17,2025-04-23,09:17:00,19350,500,216329
18,2025-04-23,09:18:00,19340,490,219203
19,2025-04-23,09:19:00,19300,450,228189
20,2025-04-23,09:20:00,19300,450,230896
21,2025-04-23,09:21:00,19300,450,231816
22,2025-04-23,09:22:00,19260,410,234547
23,2025-04-23,09:23:00,19290,440,237435
24,2025-04-23,09:24:00,19310,460,240169
25,2025-04-23,09:25:00,19340,490,245342
26,2025-04-23,09:26:00,19320,470,250820
27,2025-04-23,09:27:00,19340,490,252850
28,2025-04-23,09:28:00,19340,490,257240
29,2025-04-23,09:29:00,19330,480,258732
30,2025-04-23,09:30:00,19310,460,261200
31,2025-04-23,09:31:00,19330,480,262763
32,2025-04-23,09:32:00,19310,460,264544
33,2025-04-23,09:33:00,19310,460,268044
34,2025-04-23,09:34:00,19300,450,270551
35,2025-04-23,09:35:00,19320,470,271917
36,2025-04-23,09:36:00,19330,480,273904
37,2025-04-23,09:37:00,19330,480,279740
38,2025-04-23,09:38:00,19320,470,281903
39,2025-04-23,09:39:00,19330,480,284174
40,2025-04-23,09:40:00,19320,470,285365
41,2025-04-23,09:41:00,19310,460,286838
42,2025-04-23,09:42:00,19360,510,296763
43,2025-04-23,09:43:00,19330,480,301178
44,2025-04-23,09:44:00,19340,490,302490
45,2025-04-23,09:45:00,19330,480,304347
46,2025-04-23,09:46:00,19330,480,305517
47,2025-04-23,09:47:00,19350,500,308246
48,2025-04-23,09:48:00,19360,510,314758
49,2025-04-23,09:49:00,19360,510,315363
50,2025-04-23,09:50:00,19410,560,331542
51,2025-04-23,09:51:00,19410,560,341380
52,2025-04-23,09:52:00,19380,530,349129
53,2025-04-23,09:53:00,19440,590,353604
54,2025-04-23,09:54:00,19420,570,358188
55,2025-04-23,09:55:00,19450,600,367378
56,2025-04-23,09:56:00,19390,540,373530
57,2025-04-23,09:57:00,19430,580,375935
58,2025-04-23,09:58:00,19430,580,379986
59,2025-04-23,09:59:00,19410,560,380747
60,2025-04-23,10:00:00,19390,540,384772
61,2025-04-23,10:01:00,19410,560,386783
62,2025-04-23,10:02:00,19430,580,391356
63,2025-04-23,10:03:00,19430,580,394216
64,2025-04-23,10:04:00,19440,590,397046
65,2025-04-23,10:05:00,19420,570,399143
66,2025-04-23,10:06:00,19410,560,400807
67,2025-04-23,10:07:00,19420,570,401406
68,2025-04-23,10:08:00,19400,550,403154
69,2025-04-23,10:09:00,19400,550,403926
70,2025-04-23,10:10:00,19420,570,405198
71,2025-04-23,10:11:00,19410,560,406406
72,2025-04-23,10:12:00,19410,560,407546
73,2025-04-23,10:13:00,19420,570,408523
74,2025-04-23,10:14:00,19420,570,408818
75,2025-04-23,10:15:00,19430,580,412222
