,date,time,price,change,volume
0,2025-07-11,09:00:00,468000,-3000,6978
1,2025-07-11,09:01:00,468500,-2500,8187
2,2025-07-11,09:02:00,469000,-2000,8338
3,2025-07-11,09:03:00,471000,0,9484
4,2025-07-11,09:04:00,469500,-1500,9897
5,2025-07-11,09:05:00,469500,-1500,10176
6,2025-07-11,09:06:00,469500,-1500,10389
7,2025-07-11,09:07:00,469500,-1500,10500
8,2025-07-11,09:08:00,469500,-1500,10575
9,2025-07-11,09:09:00,470000,-1000,10977
10,2025-07-11,09:10:00,469000,-2000,11479
11,2025-07-11,09:11:00,469500,-1500,11658
12,2025-07-11,09:12:00,470000,-1000,11751
13,2025-07-11,09:13:00,469000,-2000,12216
14,2025-07-11,09:14:00,469500,-1500,12295
15,2025-07-11,09:15:00,473500,2500,13664
16,2025-07-11,09:16:00,472500,1500,14128
17,2025-07-11,09:17:00,472000,1000,14327
18,2025-07-11,09:18:00,472500,1500,14768
19,2025-07-11,09:19:00,470500,-500,14950
20,2025-07-11,09:20:00,469500,-1500,15653
21,2025-07-11,09:21:00,468500,-2500,15806
22,2025-07-11,09:22:00,468000,-3000,16023
23,2025-07-11,09:23:00,468500,-2500,16216
24,2025-07-11,09:24:00,468500,-2500,16537
25,2025-07-11,09:25:00,468000,-3000,17035
26,2025-07-11,09:26:00,467500,-3500,17411
27,2025-07-11,09:27:00,467500,-3500,17507
28,2025-07-11,09:28:00,468500,-2500,17897
29,2025-07-11,09:29:00,468500,-2500,17979
30,2025-07-11,09:30:00,471000,0,19336
31,2025-07-11,09:31:00,471000,0,20032
32,2025-07-11,09:32:00,471500,500,20197
33,2025-07-11,09:33:00,471000,0,20258
34,2025-07-11,09:34:00,470000,-1000,20449
35,2025-07-11,09:35:00,471000,0,20581
36,2025-07-11,09:36:00,470000,-1000,20772
37,2025-07-11,09:37:00,470000,-1000,20986
38,2025-07-11,09:38:00,470500,-500,21091
39,2025-07-11,09:39:00,470500,-500,21155
40,2025-07-11,09:40:00,470000,-1000,21249
41,2025-07-11,09:41:00,469500,-1500,21499
42,2025-07-11,09:42:00,470000,-1000,21643
43,2025-07-11,09:43:00,470500,-500,21966
44,2025-07-11,09:44:00,471000,0,22055
45,2025-07-11,09:45:00,469000,-2000,22384
46,2025-07-11,09:46:00,469500,-1500,22501
47,2025-07-11,09:47:00,469500,-1500,22694
48,2025-07-11,09:48:00,469000,-2000,22772
49,2025-07-11,09:49:00,469000,-2000,23059
50,2025-07-11,09:50:00,469000,-2000,23138
51,2025-07-11,09:51:00,469000,-2000,23330
52,2025-07-11,09:52:00,469000,-2000,23394
53,2025-07-11,09:53:00,469000,-2000,23468
54,2025-07-11,09:54:00,468500,-2500,23502
55,2025-07-11,09:55:00,468500,-2500,23609
56,2025-07-11,09:56:00,468500,-2500,24265
57,2025-07-11,09:57:00,469000,-2000,24442
58,2025-07-11,09:58:00,469000,-2000,24866
59,2025-07-11,09:59:00,469000,-2000,25141
60,2025-07-11,10:00:00,469500,-1500,25325
61,2025-07-11,10:01:00,469000,-2000,25459
62,2025-07-11,10:02:00,468500,-2500,25515
63,2025-07-11,10:03:00,468000,-3000,25644
64,2025-07-11,10:04:00,467000,-4000,25984
65,2025-07-11,10:05:00,467500,-3500,26091
66,2025-07-11,10:06:00,467500,-3500,26214
67,2025-07-11,10:07:00,467500,-3500,26463
68,2025-07-11,10:08:00,469000,-2000,26658
69,2025-07-11,10:09:00,468500,-2500,26847
70,2025-07-11,10:10:00,468500,-2500,26907
71,2025-07-11,10:11:00,469500,-1500,27107
72,2025-07-11,10:12:00,469000,-2000,27168
73,2025-07-11,10:13:00,468500,-2500,27279
74,2025-07-11,10:14:00,468500,-2500,27334
75,2025-07-11,10:15:00,469500,-1500,27472
76,2025-07-11,10:16:00,469500,-1500,27521
77,2025-07-11,10:17:00,469500,-1500,27581
78,2025-07-11,10:18:00,469500,-1500,27680
79,2025-07-11,10:19:00,470000,-1000,27786
80,2025-07-11,10:20:00,471000,0,28241
81,2025-07-11,10:21:00,471000,0,28273
82,2025-07-11,10:22:00,470500,-500,28375
83,2025-07-11,10:23:00,469500,-1500,28600
84,2025-07-11,10:24:00,470500,-500,29140
85,2025-07-11,10:25:00,468500,-2500,29470
86,2025-07-11,10:26:00,469000,-2000,29582
87,2025-07-11,10:27:00,469000,-2000,29747
88,2025-07-11,10:28:00,469000,-2000,29824
89,2025-07-11,10:29:00,469500,-1500,29854
90,2025-07-11,10:30:00,470500,-500,30186
91,2025-07-11,10:31:00,469500,-1500,30340
92,2025-07-11,10:32:00,470500,-500,30709
93,2025-07-11,10:33:00,469500,-1500,30963
94,2025-07-11,10:34:00,470000,-1000,31069
95,2025-07-11,10:35:00,469500,-1500,31207
96,2025-07-11,10:36:00,469000,-2000,31274
97,2025-07-11,10:37:00,469500,-1500,31538
98,2025-07-11,10:38:00,469500,-1500,31630
99,2025-07-11,10:39:00,470000,-1000,31790
100,2025-07-11,10:40:00,471500,500,31925
101,2025-07-11,10:41:00,470500,-500,32504
102,2025-07-11,10:42:00,471000,0,32655
103,2025-07-11,10:43:00,470000,-1000,32856
104,2025-07-11,10:44:00,469000,-2000,33034
105,2025-07-11,10:45:00,470000,-1000,33209
106,2025-07-11,10:46:00,470000,-1000,33308
107,2025-07-11,10:47:00,470000,-1000,33417
108,2025-07-11,10:48:00,470000,-1000,33531
109,2025-07-11,10:49:00,470500,-500,33629
