,date,time,price,change,volume
0,2025-08-18,09:00:00,127600,-900,9999
1,2025-08-18,09:01:00,127000,-1500,15991
2,2025-08-18,09:02:00,127000,-1500,21952
3,2025-08-18,09:03:00,127600,-900,29398
4,2025-08-18,09:04:00,127600,-900,32639
5,2025-08-18,09:05:00,127100,-1400,34789
6,2025-08-18,09:06:00,127200,-1300,36176
7,2025-08-18,09:07:00,127300,-1200,36636
8,2025-08-18,09:08:00,127300,-1200,43310
9,2025-08-18,09:09:00,127200,-1300,44808
10,2025-08-18,09:10:00,128000,-500,48133
11,2025-08-18,09:11:00,127300,-1200,50416
12,2025-08-18,09:12:00,127600,-900,52133
13,2025-08-18,09:13:00,127700,-800,52686
14,2025-08-18,09:14:00,128000,-500,53692
15,2025-08-18,09:15:00,127800,-700,54183
16,2025-08-18,09:16:00,127500,-1000,54853
17,2025-08-18,09:17:00,127300,-1200,55560
18,2025-08-18,09:18:00,127300,-1200,56152
19,2025-08-18,09:19:00,127200,-1300,57548
20,2025-08-18,09:20:00,127300,-1200,58503
21,2025-08-18,09:21:00,127300,-1200,59092
22,2025-08-18,09:22:00,127400,-1100,59442
23,2025-08-18,09:23:00,127200,-1300,60484
24,2025-08-18,09:24:00,127300,-1200,61040
25,2025-08-18,09:25:00,127600,-900,64378
26,2025-08-18,09:26:00,127400,-1100,66006
27,2025-08-18,09:27:00,127600,-900,67003
28,2025-08-18,09:28:00,127600,-900,67194
29,2025-08-18,09:29:00,127500,-1000,69022
30,2025-08-18,09:30:00,127800,-700,71564
31,2025-08-18,09:31:00,127800,-700,71695
32,2025-08-18,09:32:00,127800,-700,72125
33,2025-08-18,09:33:00,127800,-700,72966
34,2025-08-18,09:34:00,127900,-600,73229
35,2025-08-18,09:35:00,128000,-500,74968
36,2025-08-18,09:36:00,127700,-800,76072
37,2025-08-18,09:37:00,127700,-800,76983
38,2025-08-18,09:38:00,127800,-700,77523
39,2025-08-18,09:39:00,127600,-900,78374
40,2025-08-18,09:40:00,127500,-1000,78580
41,2025-08-18,09:41:00,127500,-1000,78850
42,2025-08-18,09:42:00,127500,-1000,79180
43,2025-08-18,09:43:00,127700,-800,80961
44,2025-08-18,09:44:00,127700,-800,81817
45,2025-08-18,09:45:00,127700,-800,82031
46,2025-08-18,09:46:00,127700,-800,82152
47,2025-08-18,09:47:00,127900,-600,85530
48,2025-08-18,09:48:00,127800,-700,86266
49,2025-08-18,09:49:00,127800,-700,86338
50,2025-08-18,09:50:00,127800,-700,87409
51,2025-08-18,09:51:00,127900,-600,87542
52,2025-08-18,09:52:00,127600,-900,87798
53,2025-08-18,09:53:00,127700,-800,88592
54,2025-08-18,09:54:00,127700,-800,89462
55,2025-08-18,09:55:00,127700,-800,89844
56,2025-08-18,09:56:00,127800,-700,89947
57,2025-08-18,09:57:00,127800,-700,90108
58,2025-08-18,09:58:00,127700,-800,90330
59,2025-08-18,09:59:00,127700,-800,90439
60,2025-08-18,10:00:00,127700,-800,90604
61,2025-08-18,10:01:00,127700,-800,91208
62,2025-08-18,10:02:00,127700,-800,91786
63,2025-08-18,10:03:00,127600,-900,91901
64,2025-08-18,10:04:00,127700,-800,91976
65,2025-08-18,10:05:00,127700,-800,92066
66,2025-08-18,10:06:00,127800,-700,93173
67,2025-08-18,10:07:00,127800,-700,95043
68,2025-08-18,10:08:00,127800,-700,95208
69,2025-08-18,10:09:00,127700,-800,95505
