,date,time,price,change,volume
0,2024-10-28,09:00:00,16720,-360,170363
1,2024-10-28,09:01:00,16660,-420,241363
2,2024-10-28,09:02:00,16540,-540,314844
3,2024-10-28,09:03:00,16400,-680,434567
4,2024-10-28,09:04:00,16240,-840,588424
5,2024-10-28,09:05:00,16200,-880,675383
6,2024-10-28,09:06:00,16390,-690,714337
7,2024-10-28,09:07:00,16380,-700,755954
8,2024-10-28,09:08:00,16370,-710,790866
9,2024-10-28,09:09:00,16430,-650,811566
10,2024-10-28,09:10:00,16380,-700,845387
11,2024-10-28,09:11:00,16410,-670,852732
12,2024-10-28,09:12:00,16430,-650,863667
13,2024-10-28,09:13:00,16420,-660,893466
14,2024-10-28,09:14:00,16350,-730,959694
15,2024-10-28,09:15:00,16380,-700,972453
16,2024-10-28,09:16:00,16400,-680,985069
17,2024-10-28,09:17:00,16400,-680,1001859
18,2024-10-28,09:18:00,16340,-740,1053587
19,2024-10-28,09:19:00,16290,-790,1132342
20,2024-10-28,09:20:00,16310,-770,1153078
21,2024-10-28,09:21:00,16280,-800,1213372
22,2024-10-28,09:22:00,16310,-770,1229211
23,2024-10-28,09:23:00,16270,-810,1272848
24,2024-10-28,09:24:00,16280,-800,1287779
25,2024-10-28,09:25:00,16320,-760,1294608
26,2024-10-28,09:26:00,16300,-780,1310806
27,2024-10-28,09:27:00,16330,-750,1317952
28,2024-10-28,09:28:00,16300,-780,1327306
29,2024-10-28,09:29:00,16280,-800,1337480
30,2024-10-28,09:30:00,16250,-830,1392538
31,2024-10-28,09:31:00,16250,-830,1406161
32,2024-10-28,09:32:00,16260,-820,1426011
33,2024-10-28,09:33:00,16140,-940,1628672
34,2024-10-28,09:34:00,16200,-880,1653252
35,2024-10-28,09:35:00,16160,-920,1668991
36,2024-10-28,09:36:00,16160,-920,1692830
37,2024-10-28,09:37:00,16090,-990,1808410
38,2024-10-28,09:38:00,16160,-920,1823348
39,2024-10-28,09:39:00,16180,-900,1834915
40,2024-10-28,09:40:00,16160,-920,1853778
41,2024-10-28,09:41:00,16170,-910,1875041
42,2024-10-28,09:42:00,16190,-890,1899752
43,2024-10-28,09:43:00,16220,-860,1902965
44,2024-10-28,09:44:00,16240,-840,1908367
45,2024-10-28,09:45:00,16270,-810,1911621
46,2024-10-28,09:46:00,16270,-810,1920569
47,2024-10-28,09:47:00,16270,-810,1943393
48,2024-10-28,09:48:00,16250,-830,1954509
49,2024-10-28,09:49:00,16240,-840,1957398
50,2024-10-28,09:50:00,16220,-860,1984351
51,2024-10-28,09:51:00,16220,-860,1987405
52,2024-10-28,09:52:00,16230,-850,1992622
53,2024-10-28,09:53:00,16250,-830,1999985
54,2024-10-28,09:54:00,16290,-790,2007677
55,2024-10-28,09:55:00,16180,-900,2080048
56,2024-10-28,09:56:00,16210,-870,2093563
57,2024-10-28,09:57:00,16190,-890,2112684
58,2024-10-28,09:58:00,16230,-850,2127612
59,2024-10-28,09:59:00,16220,-860,2139343
60,2024-10-28,10:00:00,16220,-860,2143869
61,2024-10-28,10:01:00,16200,-880,2174426
62,2024-10-28,10:02:00,16220,-860,2179975
63,2024-10-28,10:03:00,16210,-870,2190646
64,2024-10-28,10:04:00,16220,-860,2193712
65,2024-10-28,10:05:00,16220,-860,2196936
66,2024-10-28,10:06:00,16240,-840,2200118
67,2024-10-28,10:07:00,16250,-830,2203288
68,2024-10-28,10:08:00,16260,-820,2210580
69,2024-10-28,10:09:00,16270,-810,2214814
70,2024-10-28,10:10:00,16270,-810,2218286
71,2024-10-28,10:11:00,16230,-850,2229876
72,2024-10-28,10:12:00,16210,-870,2267940
73,2024-10-28,10:13:00,16200,-880,2285287
74,2024-10-28,10:14:00,16220,-860,2300094
75,2024-10-28,10:15:00,16130,-950,2456538
76,2024-10-28,10:16:00,16130,-950,2469256
77,2024-10-28,10:17:00,16130,-950,2484691
78,2024-10-28,10:18:00,16120,-960,2514617
79,2024-10-28,10:19:00,16140,-940,2520753
80,2024-10-28,10:20:00,16110,-970,2604954
81,2024-10-28,10:21:00,16130,-950,2620302
82,2024-10-28,10:22:00,16150,-930,2625455
83,2024-10-28,10:23:00,16160,-920,2627224
84,2024-10-28,10:24:00,16190,-890,2638542
85,2024-10-28,10:25:00,16190,-890,2641749
86,2024-10-28,10:26:00,16200,-880,2643951
87,2024-10-28,10:27:00,16210,-870,2650340
88,2024-10-28,10:28:00,16220,-860,2669280
89,2024-10-28,10:29:00,16210,-870,2687115
90,2024-10-28,10:30:00,16210,-870,2688836
91,2024-10-28,10:31:00,16220,-860,2695778
92,2024-10-28,10:32:00,16240,-840,2701605
93,2024-10-28,10:33:00,16220,-860,2708410
94,2024-10-28,10:34:00,16210,-870,2715241
95,2024-10-28,10:35:00,16200,-880,2720293
96,2024-10-28,10:36:00,16210,-870,2732921
97,2024-10-28,10:37:00,16210,-870,2734109
98,2024-10-28,10:38:00,16210,-870,2735830
99,2024-10-28,10:39:00,16210,-870,2738326
100,2024-10-28,10:40:00,16210,-870,2739751
101,2024-10-28,10:41:00,16210,-870,2742650
102,2024-10-28,10:42:00,16200,-880,2744871
103,2024-10-28,10:43:00,16160,-920,2806203
104,2024-10-28,10:44:00,16160,-920,2808070
105,2024-10-28,10:45:00,16160,-920,2813614
106,2024-10-28,10:46:00,16170,-910,2818324
107,2024-10-28,10:47:00,16180,-900,2819306
108,2024-10-28,10:48:00,16170,-910,2823920
109,2024-10-28,10:49:00,16190,-890,2830574
110,2024-10-28,10:50:00,16180,-900,2837756
111,2024-10-28,10:51:00,16190,-890,2844759
112,2024-10-28,10:52:00,16170,-910,2870318
113,2024-10-28,10:53:00,16180,-900,2873185
114,2024-10-28,10:54:00,16180,-900,2876754
115,2024-10-28,10:55:00,16180,-900,2882000
116,2024-10-28,10:56:00,16200,-880,2884297
117,2024-10-28,10:57:00,16190,-890,2892822
118,2024-10-28,10:58:00,16190,-890,2894808
119,2024-10-28,10:59:00,16190,-890,2895995
120,2024-10-28,11:00:00,16190,-890,2899960
121,2024-10-28,11:01:00,16200,-880,2902469
122,2024-10-28,11:02:00,16200,-880,2905083
123,2024-10-28,11:03:00,16200,-880,2907268
124,2024-10-28,11:04:00,16200,-880,2908800
125,2024-10-28,11:05:00,16190,-890,2912158
126,2024-10-28,11:06:00,16140,-940,2980062
127,2024-10-28,11:07:00,16150,-930,2984603
128,2024-10-28,11:08:00,16140,-940,2995050
129,2024-10-28,11:09:00,16120,-960,3040364
130,2024-10-28,11:10:00,16130,-950,3047664
131,2024-10-28,11:11:00,16110,-970,3080951
132,2024-10-28,11:12:00,16120,-960,3094678
133,2024-10-28,11:13:00,16120,-960,3097574
134,2024-10-28,11:14:00,16130,-950,3099116
135,2024-10-28,11:15:00,16120,-960,3103990
136,2024-10-28,11:16:00,16120,-960,3107457
137,2024-10-28,11:17:00,16130,-950,3115131
138,2024-10-28,11:18:00,16080,-1000,3257229
139,2024-10-28,11:19:00,16070,-1010,3295156
140,2024-10-28,11:20:00,16070,-1010,3305674
141,2024-10-28,11:21:00,16070,-1010,3319379
142,2024-10-28,11:22:00,16070,-1010,3328566
143,2024-10-28,11:23:00,16080,-1000,3333364
144,2024-10-28,11:24:00,16070,-1010,3363829
145,2024-10-28,11:25:00,16050,-1030,3373331
146,2024-10-28,11:26:00,16010,-1070,3467619
147,2024-10-28,11:27:00,16050,-1030,3499355
148,2024-10-28,11:28:00,16050,-1030,3504230
149,2024-10-28,11:29:00,16040,-1040,3509896
150,2024-10-28,11:30:00,16050,-1030,3513255
151,2024-10-28,11:31:00,16030,-1050,3543178
152,2024-10-28,11:32:00,16030,-1050,3562545
153,2024-10-28,11:33:00,16010,-1070,3652847
154,2024-10-28,11:34:00,16030,-1050,3656046
155,2024-10-28,11:35:00,16040,-1040,3663938
156,2024-10-28,11:36:00,16060,-1020,3667054
157,2024-10-28,11:37:00,16050,-1030,3677471
158,2024-10-28,11:38:00,16060,-1020,3682882
159,2024-10-28,11:39:00,16070,-1010,3686240
160,2024-10-28,11:40:00,16070,-1010,3694422
161,2024-10-28,11:41:00,16060,-1020,3699366
162,2024-10-28,11:42:00,16080,-1000,3707282
163,2024-10-28,11:43:00,16070,-1010,3714120
164,2024-10-28,11:44:00,16060,-1020,3739341
165,2024-10-28,11:45:00,16060,-1020,3759800
166,2024-10-28,11:46:00,16030,-1050,3789896
167,2024-10-28,11:47:00,16050,-1030,3796928
168,2024-10-28,11:48:00,16050,-1030,3799103
169,2024-10-28,11:49:00,16050,-1030,3804351
170,2024-10-28,11:50:00,16030,-1050,3837452
171,2024-10-28,11:51:00,16030,-1050,3853788
172,2024-10-28,11:52:00,16030,-1050,3855493
173,2024-10-28,11:53:00,15980,-1100,4006391
174,2024-10-28,11:54:00,16000,-1080,4013129
175,2024-10-28,11:55:00,16000,-1080,4016555
176,2024-10-28,11:56:00,16010,-1070,4023542
177,2024-10-28,11:57:00,16000,-1080,4025700
178,2024-10-28,11:58:00,16010,-1070,4034418
179,2024-10-28,11:59:00,16000,-1080,4040467
180,2024-10-28,12:00:00,15980,-1100,4066405
181,2024-10-28,12:01:00,15990,-1090,4078950
182,2024-10-28,12:02:00,16000,-1080,4086584
183,2024-10-28,12:03:00,16000,-1080,4093150
184,2024-10-28,12:04:00,15990,-1090,4098286
185,2024-10-28,12:05:00,16010,-1070,4110395
186,2024-10-28,12:06:00,16010,-1070,4111622
187,2024-10-28,12:07:00,16010,-1070,4113472
188,2024-10-28,12:08:00,16020,-1060,4117392
189,2024-10-28,12:09:00,16030,-1050,4125713
190,2024-10-28,12:10:00,16030,-1050,4127588
191,2024-10-28,12:11:00,16030,-1050,4128849
192,2024-10-28,12:12:00,16040,-1040,4131350
193,2024-10-28,12:13:00,16030,-1050,4140010
194,2024-10-28,12:14:00,16030,-1050,4143093
195,2024-10-28,12:15:00,16020,-1060,4154753
196,2024-10-28,12:16:00,16010,-1070,4156521
197,2024-10-28,12:17:00,16020,-1060,4161677
198,2024-10-28,12:18:00,16020,-1060,4164143
199,2024-10-28,12:19:00,16020,-1060,4167934
200,2024-10-28,12:20:00,16010,-1070,4172552
201,2024-10-28,12:21:00,16030,-1050,4174159
202,2024-10-28,12:22:00,16040,-1040,4178674
203,2024-10-28,12:23:00,16040,-1040,4179475
204,2024-10-28,12:24:00,16050,-1030,4183105
205,2024-10-28,12:25:00,16050,-1030,4184067
206,2024-10-28,12:26:00,16050,-1030,4189151
207,2024-10-28,12:27:00,16060,-1020,4193589
208,2024-10-28,12:28:00,16050,-1030,4199351
209,2024-10-28,12:29:00,16050,-1030,4201534
210,2024-10-28,12:30:00,16050,-1030,4203425
211,2024-10-28,12:31:00,16050,-1030,4204661
212,2024-10-28,12:32:00,16050,-1030,4206714
213,2024-10-28,12:33:00,16050,-1030,4208581
214,2024-10-28,12:34:00,16050,-1030,4211629
215,2024-10-28,12:35:00,16050,-1030,4214035
216,2024-10-28,12:36:00,16040,-1040,4224747
217,2024-10-28,12:37:00,16040,-1040,4227146
218,2024-10-28,12:38:00,16030,-1050,4228757
219,2024-10-28,12:39:00,16040,-1040,4229738
220,2024-10-28,12:40:00,16040,-1040,4233461
221,2024-10-28,12:41:00,16010,-1070,4283651
222,2024-10-28,12:42:00,16010,-1070,4293855
223,2024-10-28,12:43:00,16010,-1070,4305801
224,2024-10-28,12:44:00,16010,-1070,4316902
225,2024-10-28,12:45:00,16010,-1070,4321031
226,2024-10-28,12:46:00,16000,-1080,4351563
227,2024-10-28,12:47:00,16000,-1080,4362030
228,2024-10-28,12:48:00,16010,-1070,4363684
229,2024-10-28,12:49:00,16000,-1080,4366463
230,2024-10-28,12:50:00,15990,-1090,4381603
231,2024-10-28,12:51:00,15970,-1110,4452932
232,2024-10-28,12:52:00,15960,-1120,4458193
233,2024-10-28,12:53:00,15960,-1120,4470861
234,2024-10-28,12:54:00,15960,-1120,4476284
235,2024-10-28,12:55:00,15970,-1110,4480393
236,2024-10-28,12:56:00,15970,-1110,4486272
237,2024-10-28,12:57:00,15960,-1120,4496497
238,2024-10-28,12:58:00,15940,-1140,4533485
239,2024-10-28,12:59:00,15940,-1140,4537626
240,2024-10-28,13:00:00,15890,-1190,4674196
241,2024-10-28,13:01:00,15880,-1200,4694781
242,2024-10-28,13:02:00,15870,-1210,4712580
243,2024-10-28,13:03:00,15870,-1210,4727367
244,2024-10-28,13:04:00,15890,-1190,4735104
245,2024-10-28,13:05:00,15890,-1190,4738320
246,2024-10-28,13:06:00,15890,-1190,4748160
247,2024-10-28,13:07:00,15890,-1190,4754745
248,2024-10-28,13:08:00,15900,-1180,4761759
249,2024-10-28,13:09:00,15900,-1180,4772422
250,2024-10-28,13:10:00,15920,-1160,4776277
251,2024-10-28,13:11:00,15910,-1170,4784546
252,2024-10-28,13:12:00,15920,-1160,4788562
253,2024-10-28,13:13:00,15920,-1160,4803760
254,2024-10-28,13:14:00,15920,-1160,4811630
255,2024-10-28,13:15:00,15930,-1150,4814036
256,2024-10-28,13:16:00,15930,-1150,4830129
257,2024-10-28,13:17:00,15940,-1140,4836188
258,2024-10-28,13:18:00,15930,-1150,4837674
259,2024-10-28,13:19:00,15940,-1140,4840378
260,2024-10-28,13:20:00,15940,-1140,4845990
261,2024-10-28,13:21:00,15940,-1140,4860457
262,2024-10-28,13:22:00,15950,-1130,4866064
263,2024-10-28,13:23:00,15960,-1120,4870220
264,2024-10-28,13:24:00,15960,-1120,4887649
265,2024-10-28,13:25:00,15970,-1110,4893766
