date,price,open,high,low,change(%)
2022-06-24,3.476,3.495,3.508,3.431,-2.19%
2022-06-23,3.554,3.419,3.555,3.407,2.90%
2022-06-22,3.454,3.586,3.587,3.454,-3.73%
2022-06-21,3.588,3.652,3.652,3.57,-0.08%
2022-06-20,3.591,3.689,3.708,3.59,-1.78%
2022-06-19,3.656,3.656,3.656,3.656,0.00%
2022-06-17,3.656,3.599,3.695,3.599,1.05%
2022-06-16,3.618,3.482,3.62,3.419,3.19%
2022-06-15,3.506,3.433,3.577,3.427,3.33%
2022-06-14,3.393,3.404,3.517,3.367,1.04%
2022-06-13,3.358,3.35,3.358,3.35,9.70%
2022-06-12,3.061,3.061,3.061,3.061,0.00%
2022-06-10,3.061,3.03,3.08,3.03,1.02%
2022-06-09,3.03,2.919,3.03,2.86,3.31%
2022-06-08,2.933,2.903,2.939,2.903,-0.14%
2022-06-07,2.937,2.885,2.937,2.873,3.60%
2022-06-06,2.835,2.835,2.835,2.835,0.00%
2022-06-05,2.835,2.835,2.835,2.835,0.00%
2022-06-04,2.835,2.835,2.835,2.835,-0.56%
2022-06-03,2.851,2.864,2.87,2.835,0.39%
2022-06-02,2.84,2.784,2.875,2.784,2.97%
2022-06-01,2.758,2.758,2.758,2.758,-0.72%
2022-05-31,2.778,2.703,2.78,2.703,3.39%
2022-05-30,2.687,2.688,2.688,2.658,-0.04%
2022-05-29,2.688,2.688,2.688,2.688,0.00%
2022-05-28,2.688,2.688,2.688,2.688,-0.11%
2022-05-27,2.691,2.704,2.727,2.691,-1.07%
2022-05-26,2.72,2.713,2.762,2.705,0.74%
2022-05-25,2.7,2.681,2.711,2.681,-0.74%
