날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,114.67,114.96,119.98,114.15,440.80K,-2.50%
2022년 05월 30일,117.61,115.58,117.79,115.39,-,1.73%
2022년 05월 29일,115.61,115.3,115.81,115.2,-,0.47%
2022년 05월 27일,115.07,114.2,115.3,112.85,217.28K,0.86%
2022년 05월 26일,114.09,110.69,114.83,110.27,234.75K,3.41%
2022년 05월 25일,110.33,110.39,111.68,109.23,191.37K,0.51%
2022년 05월 24일,109.77,110.41,111.43,108.61,224.79K,-0.47%
2022년 05월 23일,110.29,110.56,111.96,109.15,215.62K,0.01%
2022년 05월 20일,110.28,109.26,111.04,108.13,229.93K,0.35%
2022년 05월 19일,109.89,106.96,110.16,103.24,340.08K,2.66%
2022년 05월 18일,107.04,110.77,112.39,106.06,311.84K,-2.36%
2022년 05월 17일,109.63,111.61,113.2,108.96,204.75K,-1.96%
2022년 05월 16일,111.82,109,112.47,106.27,166.04K,2.94%
2022년 05월 13일,108.63,104.91,108.77,104.64,134.31K,4.05%
2022년 05월 12일,104.4,103.94,105.55,101.11,179.61K,0.36%
2022년 05월 11일,104.03,97.74,104.74,96.93,179.72K,5.67%
2022년 05월 10일,98.45,100.96,102.78,97.61,156.44K,-3.26%
2022년 05월 09일,101.77,108.97,109,100.81,148.44K,-6.06%
2022년 05월 06일,108.33,107.07,109.53,105.72,119.33K,1.49%
2022년 05월 05일,106.74,106.07,109.77,104.95,97.44K,0.49%
2022년 05월 04일,106.22,101.99,107,101.41,92.05K,5.27%
2022년 05월 03일,100.9,103.19,104.06,100.58,97.51K,-2.44%
2022년 05월 02일,103.42,102.15,104.19,98.87,89.43K,0.47%
2022년 04월 29일,102.94,103.12,105.99,102.14,98.35K,-0.51%
2022년 04월 28일,103.47,100.59,103.77,98.75,104.93K,2.77%
2022년 04월 27일,100.68,100.76,101.68,98.65,76.99K,0.27%
2022년 04월 26일,100.41,97.77,101.5,96.37,100.12K,2.81%
2022년 04월 25일,97.67,100.38,100.48,94.47,87.65K,-3.34%
2022년 04월 22일,101.05,102.01,103.34,100.08,60.24K,-1.86%
2022년 04월 21일,102.96,101.66,104.47,101.25,74.66K,1.58%
2022년 04월 20일,101.36,101.54,103.1,99.2,68.28K,0.20%
2022년 04월 19일,101.16,105.79,107.09,100.58,84.10K,-4.93%
2022년 04월 18일,106.41,105.48,107.97,104.52,52.05K,0.92%
2022년 04월 14일,105.44,102.9,106.01,100.86,66.00K,2.48%
2022년 04월 13일,102.89,99.71,103.05,98.78,104.35K,3.51%
2022년 04월 12일,99.4,94.46,100.03,94.06,95.01K,6.36%
2022년 04월 11일,93.46,97.22,97.23,92.15,85.51K,-3.66%
2022년 04월 08일,97.01,95.43,97.36,93.98,84.23K,2.32%
2022년 04월 07일,94.81,95.13,97.02,92.65,100.06K,0.19%
2022년 04월 06일,94.63,98.91,101.36,94.17,93.71K,-4.94%
2022년 04월 05일,99.55,100.81,102.64,97.51,56.14K,-1.04%
2022년 04월 04일,100.6,96.9,101.1,95.77,70.16K,3.97%
2022년 04월 01일,96.76,98.15,98.31,94.76,78.05K,-0.12%
2022년 03월 31일,96.88,103.01,103.32,96.19,109.88K,-6.23%
2022년 03월 30일,103.32,100.6,103.87,99.94,48.73K,3.68%
2022년 03월 29일,99.65,98.71,102.66,94.44,62.43K,-1.06%
2022년 03월 28일,100.72,106.59,106.75,97.86,68.20K,-6.68%
2022년 03월 25일,107.93,105.15,108.12,102.85,51.84K,1.64%
2022년 03월 24일,106.19,108,110.07,104.67,46.95K,-2.26%
2022년 03월 23일,108.65,102.86,108.95,102.76,62.10K,4.90%
2022년 03월 22일,103.57,104.76,106.93,101.73,49.18K,-0.39%
2022년 03월 21일,103.98,97.72,104.96,97.72,45.36K,5.90%
2022년 03월 18일,98.19,97.32,99.68,96.45,27.17K,1.25%
2022년 03월 17일,96.98,89.79,97.83,89.59,37.27K,8.32%
2022년 03월 16일,89.53,89.2,93.88,88.74,35.17K,-1.47%
2022년 03월 15일,90.87,95.7,95.94,88.53,55.49K,-5.19%
2022년 03월 14일,95.84,100.64,100.98,93.67,38.52K,-4.62%
2022년 03월 11일,100.48,97.19,100.61,95.22,54.17K,3.88%
2022년 03월 10일,96.73,98.08,102.64,95.57,87.49K,-0.54%
2022년 03월 09일,97.26,112.18,113.67,91.94,84.96K,-12.24%
2022년 03월 08일,110.83,108.63,115.04,105.91,73.50K,2.89%
2022년 03월 07일,107.72,109.78,116.43,103.33,62.04K,3.40%
2022년 03월 04일,104.18,97.06,104.44,97,57.27K,7.65%
2022년 03월 03일,96.78,97.82,102.35,94.79,60.18K,-0.82%
2022년 03월 02일,97.58,94.9,99.16,93.28,92.25K,5.33%
2022년 03월 01일,92.64,88.82,94.65,88.56,122.84K,4.42%
2022년 02월 28일,88.72,88.26,92.17,88,58.81K,2.94%
2022년 02월 25일,86.19,87.47,89.46,85.09,44.00K,-0.92%
2022년 02월 24일,86.99,87.98,93.97,85.88,97.59K,-0.65%
2022년 02월 23일,87.56,86.88,88.94,86.3,35.48K,0.56%
2022년 02월 22일,87.07,86.2,89.44,84.46,70.06K,-6.02%
2022년 02월 21일,92.65,91.62,93.91,89.08,-,1.12%
2022년 02월 20일,91.62,91.22,91.74,91.08,-,7.26%
2022년 02월 18일,85.42,84.64,86,82.76,41.11K,0.77%
2022년 02월 17일,84.77,84.1,85.76,83.65,47.97K,-1.49%
