date,time,price,change,change(%),amount,volume
2022-12-12,15:50:00,163500,"▲ 1,000",0.62,57,231307
2022-12-12,15:40:00,163500,"▲ 1,000",0.62,270,231250
2022-12-12,15:30:00,163500,"▲ 1,000",0.62,23731,230980
2022-12-12,15:10:00,163500,"▲ 1,000",0.62,11119,207249
2022-12-12,15:00:00,163000,▲ 500,0.31,12387,196130
2022-12-12,14:50:00,163000,▲ 500,0.31,5250,183743
2022-12-12,14:40:00,163000,▲ 500,0.31,4962,178493
2022-12-12,14:30:00,162500,0,0.0,6356,173531
2022-12-12,14:20:00,163000,▲ 500,0.31,3226,167175
2022-12-12,14:10:00,163000,▲ 500,0.31,5118,163949
2022-12-12,14:00:00,162500,0,0.0,3853,158831
2022-12-12,13:50:00,163000,▲ 500,0.31,10729,154978
2022-12-12,13:40:00,163500,"▲ 1,000",0.62,4297,144249
2022-12-12,13:30:00,163500,"▲ 1,000",0.62,3154,139952
2022-12-12,13:20:00,163500,"▲ 1,000",0.62,2659,136798
2022-12-12,13:10:00,163500,"▲ 1,000",0.62,7611,134139
2022-12-12,13:00:00,163000,▲ 500,0.31,5356,126528
2022-12-12,12:50:00,163000,▲ 500,0.31,3022,121172
2022-12-12,12:40:00,163000,▲ 500,0.31,2629,118150
2022-12-12,12:30:00,163000,▲ 500,0.31,2923,115521
2022-12-12,13:20:00,163500,"▲ 1,000",0.62,2659,136798
2022-12-12,13:10:00,163500,"▲ 1,000",0.62,7611,134139
2022-12-12,13:00:00,163000,▲ 500,0.31,5356,126528
2022-12-12,12:50:00,163000,▲ 500,0.31,3022,121172
2022-12-12,12:40:00,163000,▲ 500,0.31,2629,118150
2022-12-12,12:30:00,163000,▲ 500,0.31,2923,115521
2022-12-12,12:20:00,163000,▲ 500,0.31,2354,112598
2022-12-12,12:10:00,162500,0,0.0,2429,110244
2022-12-12,12:00:00,163000,▲ 500,0.31,3738,107815
2022-12-12,11:50:00,162500,0,0.0,2230,104077
2022-12-12,11:40:00,163000,▲ 500,0.31,1497,101847
2022-12-12,11:30:00,163000,▲ 500,0.31,9758,100350
2022-12-12,11:20:00,162500,0,0.0,16933,90592
2022-12-12,11:10:00,162500,0,0.0,3523,73659
2022-12-12,11:00:00,163000,▲ 500,0.31,3006,70136
2022-12-12,10:50:00,163000,▲ 500,0.31,4133,67130
2022-12-12,10:40:00,163000,▲ 500,0.31,5006,62997
2022-12-12,10:30:00,163000,▲ 500,0.31,5159,57991
2022-12-12,10:20:00,162500,0,0.0,4847,52832
2022-12-12,10:10:00,162500,0,0.0,3963,47985
2022-12-12,10:00:00,163000,▲ 500,0.31,3739,44022
2022-12-12,09:50:00,162500,0,0.0,4930,40283
2022-12-12,09:40:00,162500,0,0.0,4515,35353
2022-12-12,09:30:00,163000,▲ 500,0.31,4123,30838
2022-12-12,09:20:00,163000,▲ 500,0.31,4792,26715
2022-12-12,09:10:00,163000,▲ 500,0.31,3924,21923
2022-12-12,09:00:00,163000,▲ 500,0.31,17793,17999
2022-12-12,08:30:00,162500,0,0.0,206,206
