date,time,price,change,change(%),amount,volume
2022-08-17,15:50:00,60400,▼ 600,-0.98,1821,9007676
2022-08-17,15:40:00,60400,▼ 600,-0.98,8707,9005855
2022-08-17,15:30:00,60400,▼ 600,-0.98,595111,8997148
2022-08-17,15:10:00,60500,▼ 500,-0.82,208390,8402037
2022-08-17,15:00:00,60500,▼ 500,-0.82,221593,8193647
2022-08-17,14:50:00,60500,▼ 500,-0.82,172229,7972054
2022-08-17,14:40:00,60500,▼ 500,-0.82,41491,7799825
2022-08-17,14:30:00,60500,▼ 500,-0.82,298356,7758334
2022-08-17,14:20:00,60500,▼ 500,-0.82,67671,7459978
2022-08-17,14:10:00,60400,▼ 600,-0.98,59020,7392307
2022-08-17,14:00:00,60500,▼ 500,-0.82,60373,7333287
2022-08-17,13:50:00,60400,▼ 600,-0.98,546923,7272914
2022-08-17,13:40:00,60500,▼ 500,-0.82,66252,6725991
2022-08-17,13:30:00,60400,▼ 600,-0.98,534212,6659739
2022-08-17,13:20:00,60500,▼ 500,-0.82,101522,6125527
2022-08-17,13:10:00,60600,▼ 400,-0.66,48835,6024005
2022-08-17,13:00:00,60500,▼ 500,-0.82,285396,5975170
2022-08-17,12:50:00,60600,▼ 400,-0.66,58656,5689774
2022-08-17,12:40:00,60600,▼ 400,-0.66,99426,5631118
2022-08-17,12:30:00,60700,▼ 300,-0.49,34900,5531692
2022-08-17,13:20:00,60500,▼ 500,-0.82,101522,6125527
2022-08-17,13:10:00,60600,▼ 400,-0.66,48835,6024005
2022-08-17,13:00:00,60500,▼ 500,-0.82,285396,5975170
2022-08-17,12:50:00,60600,▼ 400,-0.66,58656,5689774
2022-08-17,12:40:00,60600,▼ 400,-0.66,99426,5631118
2022-08-17,12:30:00,60700,▼ 300,-0.49,34900,5531692
2022-08-17,12:20:00,60700,▼ 300,-0.49,42449,5496792
2022-08-17,12:10:00,60700,▼ 300,-0.49,56520,5454343
2022-08-17,12:00:00,60800,▼ 200,-0.33,159239,5397823
2022-08-17,11:50:00,60700,▼ 300,-0.49,81338,5238584
2022-08-17,11:40:00,60700,▼ 300,-0.49,68614,5157246
2022-08-17,11:30:00,60700,▼ 300,-0.49,51555,5088632
2022-08-17,11:20:00,60700,▼ 300,-0.49,110038,5037077
2022-08-17,11:10:00,60700,▼ 300,-0.49,54318,4927039
2022-08-17,11:00:00,60700,▼ 300,-0.49,113355,4872721
2022-08-17,10:50:00,60900,▼ 100,-0.16,165361,4759366
2022-08-17,10:40:00,60700,▼ 300,-0.49,106434,4594005
2022-08-17,10:30:00,60700,▼ 300,-0.49,318727,4487571
2022-08-17,10:20:00,60800,▼ 200,-0.33,194803,4168844
2022-08-17,10:10:00,60700,▼ 300,-0.49,174130,3974041
2022-08-17,10:00:00,60800,▼ 200,-0.33,308665,3799911
2022-08-17,09:50:00,60900,▼ 100,-0.16,359874,3491246
2022-08-17,09:40:00,60800,▼ 200,-0.33,226017,3131372
2022-08-17,09:30:00,60700,▼ 300,-0.49,671416,2905355
2022-08-17,09:20:00,60800,▼ 200,-0.33,546144,2233939
2022-08-17,09:10:00,60900,▼ 100,-0.16,330409,1687795
2022-08-17,09:00:00,60900,▼ 100,-0.16,1347882,1357386
2022-08-17,08:30:00,61000,0,0.0,9504,9504
