date,time,price,change,change(%),amount,volume
2022-12-12,15:40:00,99200,"▲ 1,200",1.22,30,302466
2022-12-12,15:30:00,99200,"▲ 1,200",1.22,14569,302436
2022-12-12,15:10:00,99100,"▲ 1,100",1.12,12199,287867
2022-12-12,15:00:00,99200,"▲ 1,200",1.22,8119,275668
2022-12-12,14:50:00,99000,"▲ 1,000",1.02,9943,267549
2022-12-12,14:40:00,99200,"▲ 1,200",1.22,8324,257606
2022-12-12,14:30:00,99300,"▲ 1,300",1.33,6763,249282
2022-12-12,14:20:00,99200,"▲ 1,200",1.22,5117,242519
2022-12-12,14:10:00,99100,"▲ 1,100",1.12,5378,237402
2022-12-12,14:00:00,99200,"▲ 1,200",1.22,6483,232024
2022-12-12,13:50:00,99300,"▲ 1,300",1.33,4419,225541
2022-12-12,13:40:00,99100,"▲ 1,100",1.12,7059,221122
2022-12-12,13:30:00,99200,"▲ 1,200",1.22,3627,214063
2022-12-12,13:20:00,99300,"▲ 1,300",1.33,5431,210436
2022-12-12,13:10:00,99300,"▲ 1,300",1.33,4482,205005
2022-12-12,13:00:00,99300,"▲ 1,300",1.33,5630,200523
2022-12-12,12:50:00,99300,"▲ 1,300",1.33,5041,194893
2022-12-12,12:40:00,99300,"▲ 1,300",1.33,4799,189852
2022-12-12,12:30:00,99200,"▲ 1,200",1.22,5619,185053
2022-12-12,12:20:00,99200,"▲ 1,200",1.22,5918,179434
2022-12-12,13:10:00,99300,"▲ 1,300",1.33,4482,205005
2022-12-12,13:00:00,99300,"▲ 1,300",1.33,5630,200523
2022-12-12,12:50:00,99300,"▲ 1,300",1.33,5041,194893
2022-12-12,12:40:00,99300,"▲ 1,300",1.33,4799,189852
2022-12-12,12:30:00,99200,"▲ 1,200",1.22,5619,185053
2022-12-12,12:20:00,99200,"▲ 1,200",1.22,5918,179434
2022-12-12,12:10:00,99400,"▲ 1,400",1.43,5271,173516
2022-12-12,12:00:00,99400,"▲ 1,400",1.43,6307,168245
2022-12-12,11:50:00,99200,"▲ 1,200",1.22,7971,161938
2022-12-12,11:40:00,99400,"▲ 1,400",1.43,3976,153967
2022-12-12,11:30:00,99400,"▲ 1,400",1.43,5568,149991
2022-12-12,11:20:00,99300,"▲ 1,300",1.33,7664,144423
2022-12-12,11:10:00,99400,"▲ 1,400",1.43,10268,136759
2022-12-12,11:00:00,99400,"▲ 1,400",1.43,8452,126491
2022-12-12,10:50:00,99300,"▲ 1,300",1.33,8015,118039
2022-12-12,10:40:00,99300,"▲ 1,300",1.33,11623,110024
2022-12-12,10:30:00,99200,"▲ 1,200",1.22,8548,98401
2022-12-12,10:20:00,99100,"▲ 1,100",1.12,21483,89853
2022-12-12,10:10:00,99000,"▲ 1,000",1.02,8914,68370
2022-12-12,10:00:00,99000,"▲ 1,000",1.02,5416,59456
2022-12-12,09:50:00,98800,▲ 800,0.82,7533,54040
2022-12-12,09:40:00,98900,▲ 900,0.92,6571,46507
2022-12-12,09:30:00,98900,▲ 900,0.92,4777,39936
2022-12-12,09:20:00,98700,▲ 700,0.71,10597,35159
2022-12-12,09:10:00,98800,▲ 800,0.82,5809,24562
2022-12-12,09:00:00,98800,▲ 800,0.82,18753,18753
