date,time,price,change,change(%),amount,volume
2023-01-16,15:50:00,200500,"▲ 5,500",2.82,79,840645
2023-01-16,15:40:00,200500,"▲ 5,500",2.82,1156,840566
2023-01-16,15:30:00,200500,"▲ 5,500",2.82,33005,839410
2023-01-16,15:10:00,200500,"▲ 5,500",2.82,24702,806405
2023-01-16,15:00:00,200000,"▲ 5,000",2.56,21331,781703
2023-01-16,14:50:00,200000,"▲ 5,000",2.56,26254,760372
2023-01-16,14:40:00,200500,"▲ 5,500",2.82,36473,734118
2023-01-16,14:30:00,200500,"▲ 5,500",2.82,9335,697645
2023-01-16,14:20:00,200500,"▲ 5,500",2.82,5653,688310
2023-01-16,14:10:00,200000,"▲ 5,000",2.56,7665,682657
2023-01-16,14:00:00,200500,"▲ 5,500",2.82,4920,674992
2023-01-16,13:50:00,200500,"▲ 5,500",2.82,13830,670072
2023-01-16,13:40:00,200500,"▲ 5,500",2.82,17619,656242
2023-01-16,13:30:00,200000,"▲ 5,000",2.56,19163,638623
2023-01-16,13:20:00,200000,"▲ 5,000",2.56,22361,619460
2023-01-16,13:10:00,199000,"▲ 4,000",2.05,21972,597099
2023-01-16,13:00:00,200000,"▲ 5,000",2.56,6418,575127
2023-01-16,12:50:00,200000,"▲ 5,000",2.56,20043,568709
2023-01-16,12:40:00,200500,"▲ 5,500",2.82,12608,548666
2023-01-16,12:30:00,200500,"▲ 5,500",2.82,9491,536058
2023-01-16,13:20:00,200000,"▲ 5,000",2.56,22361,619460
2023-01-16,13:10:00,199000,"▲ 4,000",2.05,21972,597099
2023-01-16,13:00:00,200000,"▲ 5,000",2.56,6418,575127
2023-01-16,12:50:00,200000,"▲ 5,000",2.56,20043,568709
2023-01-16,12:40:00,200500,"▲ 5,500",2.82,12608,548666
2023-01-16,12:30:00,200500,"▲ 5,500",2.82,9491,536058
2023-01-16,12:20:00,200500,"▲ 5,500",2.82,11990,526567
2023-01-16,12:10:00,200500,"▲ 5,500",2.82,9238,514577
2023-01-16,12:00:00,201000,"▲ 6,000",3.08,7402,505339
2023-01-16,11:50:00,201000,"▲ 6,000",3.08,17456,497937
2023-01-16,11:40:00,200500,"▲ 5,500",2.82,22013,480481
2023-01-16,11:30:00,201000,"▲ 6,000",3.08,15199,458468
2023-01-16,11:20:00,200000,"▲ 5,000",2.56,81443,443269
2023-01-16,11:10:00,200000,"▲ 5,000",2.56,13329,361826
2023-01-16,11:00:00,199500,"▲ 4,500",2.31,22809,348497
2023-01-16,10:50:00,199500,"▲ 4,500",2.31,9205,325688
2023-01-16,10:40:00,199500,"▲ 4,500",2.31,14648,316483
2023-01-16,10:30:00,198500,"▲ 3,500",1.79,13454,301835
2023-01-16,10:20:00,199500,"▲ 4,500",2.31,27029,288381
2023-01-16,10:10:00,199500,"▲ 4,500",2.31,19395,261352
2023-01-16,10:00:00,198500,"▲ 3,500",1.79,10271,241957
2023-01-16,09:50:00,199000,"▲ 4,000",2.05,8607,231686
2023-01-16,09:40:00,199000,"▲ 4,000",2.05,25022,223079
2023-01-16,09:30:00,199500,"▲ 4,500",2.31,60148,198057
2023-01-16,09:20:00,198500,"▲ 3,500",1.79,35633,137909
2023-01-16,09:10:00,197500,"▲ 2,500",1.28,39833,102276
2023-01-16,09:00:00,196000,"▲ 1,000",0.51,62261,62443
2023-01-16,08:30:00,195000,0,0.0,182,182
