날짜,개인,외국인계,기관계,증권,투신,은행,종금,보험,기금,기타
2022/06/21,0,0,0,0,0,0,0,0,0,0
2022/06/20,2139454,-4429640,2236709,2336239,-28152,3399,26298,-5224,-61619,40158
2022/06/17,6494723,-7355651,612667,1764379,-453608,54668,24249,-114845,-473784,209737
2022/06/16,685287,-552199,-223863,209601,14150,-29652,-48134,-14528,-346840,71295
2022/06/15,3730369,-4324395,526298,617784,-86095,2575,14655,-43153,-621588,61968
2022/06/14,588203,-1154038,390583,623213,71902,-50463,3000,-69691,-161545,158836
2022/06/13,3222323,-2813392,-511162,234735,-50997,-71790,4787,-210523,-130427,79304
2022/06/10,10428214,-9306686,-1133682,-925727,-256036,-11803,9920,29089,135388,-31101
2022/06/09,5858885,-6429047,448925,3507497,-986680,-17311,-467,-366707,-1467577,97635
2022/06/08,3436553,-3078301,-394294,31747,9813,-4963,1990,-65465,-262228,26328
2022/06/07,7873193,-4145083,-3831242,-2754730,-164776,39244,-1600,29356,-799106,79348
2022/06/03,-354907,-482688,855933,830383,-6137,977,2198,-57138,77900,-7021
2022/06/02,3617723,-563250,-3211366,-2794206,-121221,5126,-2689,-18287,-151544,141287
2022/05/31,2009351,1410395,-3504193,-2436183,-336502,1734,-3144,-76249,-388177,62380
2022/05/30,-2790604,1589435,1227540,1514907,99413,-10095,2826,-12091,-358826,3658
2022/05/27,-738811,-1523239,2272499,2161109,-40089,-1209,-2649,15719,110706,-16453
2022/05/26,3158014,-1244984,-1975909,-273740,-243295,7098,-462,-39649,-1279212,47451
2022/05/25,1367749,-2261361,883770,2076112,-56363,2000,-658,16478,-584730,6815
2022/05/24,3997412,-2402526,-1564764,-663564,-94479,9102,19002,-10280,-460907,-47068
2022/05/23,344533,-302930,-2489,1229066,-215357,-10902,17300,261,-261095,-45604
2022/05/20,-1007692,-1456744,2468619,2867562,51041,7300,-52655,-95986,8931,-8685
2022/05/19,1398156,14309,-1402888,-1534167,68083,11862,-22620,19741,131941,-6110
2022/05/18,-537095,1656817,-1138543,-1348534,285679,15114,-24539,17905,-169419,20708
2022/05/17,-3439268,180057,3262345,2212065,516282,-171,-17075,521,132017,22566
2022/05/16,304771,-98326,-285577,-712617,27185,3084,-52891,-56683,211184,70856
2022/05/13,-2470541,-1242156,3692002,2736462,117487,-4445,-28309,-63543,537948,24680
2022/05/12,2804774,-1824087,-1126520,-618719,-59620,11997,-23510,10317,-368414,128114
2022/05/11,1149197,-270031,-972900,-923569,109866,161,-6880,-26177,-109618,84020
2022/05/10,1932988,-2043787,107882,209913,-14474,-853,-57792,-30494,20421,2076
2022/05/09,1303916,-1014061,-333851,351379,222203,-14081,-4100,-66909,-814441,32845
2022/05/06,5081286,-4188980,-1022344,-775864,-57298,-14351,0,-49629,74066,92161
2022/05/04,549222,-306543,-262439,180944,21553,-20505,-45257,-1568,-463148,13825
2022/05/03,-383821,524651,-149467,-816823,369590,-2389,1903,34598,-181890,1723
2022/05/02,1170327,-831919,-377930,-456451,293471,-1486,-95394,-75493,-120934,45651
2022/04/29,-4267626,1523108,3071613,832719,696221,12473,2150,192733,705483,-327885
2022/04/28,4050337,-3783774,-430481,-358433,2582,-1166,2,-21117,-22132,148952
2022/04/27,6266748,-5192156,-1216735,-510098,-198731,-5188,-1630,-25127,-360177,128374
2022/04/26,3529697,-4535816,842180,671657,24186,1908,4200,-89042,243434,157480
2022/04/25,4419019,-3001889,-1531424,-905338,-65314,2096,-2988,642,-456107,99077
2022/04/22,3128990,-449462,-2734495,-2511703,-18784,3021,-1543,-87,-124675,49034
2022/04/21,-1173792,-712326,1997294,2004393,-165891,-13986,5841,-28998,197025,-103992
