parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.872293668820899,0.872293668820899,0.10933486275994007
importance_type,split,split,split
learning_rate,0.00040783886902393755,0.00040783886902393755,0.00020003937281998327
max_depth,0,0,8
min_child_samples,26,26,25
min_child_weight,0.001,0.001,10
min_split_gain,0.0,0.0,0.0
n_estimators,1105,1105,2318
n_jobs,-1,-1,-1
num_leaves,12,12,8
objective,binary,binary,binary
random_state,,,
reg_alpha,0.5,0.5,2.0
reg_lambda,0.7000000000000001,0.7000000000000001,1.7000000000000002
silent,warn,warn,warn
subsample,0.40764193647046626,0.40764193647046626,0.9969204043266121
subsample_for_bin,398451,398451,192030
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,True,True,False
force_col_wise,true,true,true
max_bin,290,290,508
scale_pos_weight,0.8000000000000003,0.8000000000000003,0.8000000000000003
cv,5,5,5
scoring,precision,precision,precision
num_col,110,110,110
iterations,10,10,10
best_score,0.6411111111111111,0.6411111111111111,0.67
best_index,8.0,8.0,2.0
acc_train,0.722972972972973,0.722972972972973,0.668918918918919
acc_val,0.631578947368421,0.631578947368421,0.6842105263157895
acc_test,0.5531914893617021,0.5531914893617021,0.6382978723404256
precision,0.6363636363636364,0.6363636363636364,1.0
recall,0.2916666666666667,0.2916666666666667,0.2916666666666667
f1score,0.4,0.4,0.45161290322580644
roc,0.5588768115942029,0.5588768115942029,0.6458333333333334
tn,19.0,19.0,23.0
fp,4.0,4.0,0.0
fn,17.0,17.0,17.0
tp,7.0,7.0,7.0
acc_test1,0.5333333333333333,0.5333333333333333,0.6666666666666666
precision1,0.75,0.75,1.0
recall1,0.3333333333333333,0.3333333333333333,0.4444444444444444
f1score1,0.46153846153846156,0.46153846153846156,0.6153846153846153
roc1,0.5833333333333334,0.5833333333333334,0.7222222222222222
tn1,5.0,5.0,6.0
fp1,1.0,1.0,0.0
fn1,6.0,6.0,5.0
tp1,3.0,3.0,4.0
acc_test2,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision2,1.0,1.0,1.0
recall2,0.16666666666666666,0.16666666666666666,0.16666666666666666
f1score2,0.2857142857142857,0.2857142857142857,0.2857142857142857
roc2,0.5833333333333334,0.5833333333333334,0.5833333333333334
tn2,9.0,9.0,9.0
fp2,0.0,0.0,0.0
fn2,5.0,5.0,5.0
tp2,1.0,1.0,1.0
acc_test3,0.47058823529411764,0.47058823529411764,0.5882352941176471
precision3,0.5,0.5,1.0
recall3,0.3333333333333333,0.3333333333333333,0.2222222222222222
f1score3,0.4,0.4,0.3636363636363636
roc3,0.47916666666666663,0.47916666666666663,0.6111111111111112
tn3,5.0,5.0,8.0
fp3,3.0,3.0,0.0
fn3,6.0,6.0,7.0
tp3,3.0,3.0,2.0
