parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.9332036588535947,0.9332036588535947,0.4621802908045128,0.49898437007873314
importance_type,split,split,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723,0.0004468166431305088,0.0003304939642148201
max_depth,18,18,30,29
min_child_samples,16,16,18,19
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,2190,2190,2592,2600
n_jobs,-1,-1,-1,-1
num_leaves,10,10,8,7
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,0.7000000000000001,0.5,1.0,1.3
reg_lambda,2.5,1.8,0.1,0.1
silent,warn,warn,warn,warn
subsample,0.6684947525293031,0.6684947525293031,0.7223460694047724,0.5597576125719046
subsample_for_bin,373099,373099,377706,439614
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1
boost_from_average,False,False,True,True
force_col_wise,true,true,true,true
max_bin,473,473,233,146
scale_pos_weight,0.30000000000000004,0.30000000000000004,0.6000000000000002,0.6000000000000002
cv,5,10,10,10
scoring,precision,precision,precision,precision
num_col,110,110,110,101
iterations,10,15,15,15
best_score,0.7499999999999999,0.7666666666666666,0.8183333333333334,0.75
best_index,0.0,0.0,13.0,7.0
acc_train,0.738255033557047,0.7583892617449665,0.7651006711409396,0.7449664429530202
acc_val,0.631578947368421,0.6578947368421053,0.6052631578947368,0.6052631578947368
acc_test,0.5319148936170213,0.5319148936170213,0.5957446808510638,0.574468085106383
precision,0.75,0.75,0.8571428571428571,1.0
recall,0.125,0.125,0.25,0.16666666666666666
f1score,0.21428571428571427,0.21428571428571427,0.3870967741935483,0.2857142857142857
roc,0.5407608695652174,0.5407608695652174,0.6032608695652174,0.5833333333333334
tn,22.0,22.0,22.0,23.0
fp,1.0,1.0,1.0,0.0
fn,21.0,21.0,18.0,20.0
tp,3.0,3.0,6.0,4.0
acc_test1,0.4666666666666667,0.4666666666666667,0.6,0.5333333333333333
precision1,1.0,1.0,1.0,1.0
recall1,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222
f1score1,0.19999999999999998,0.19999999999999998,0.5,0.3636363636363636
roc1,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6111111111111112
tn1,6.0,6.0,6.0,6.0
fp1,0.0,0.0,0.0,0.0
fn1,8.0,8.0,6.0,7.0
tp1,1.0,1.0,3.0,2.0
acc_test2,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.4666666666666667
precision2,0.0,0.0,1.0,0.0
recall2,0.0,0.0,0.125,0.0
f1score2,0.0,0.0,0.2222222222222222,0.0
roc2,0.5,0.5,0.5625,0.5
tn2,7.0,7.0,7.0,7.0
fp2,0.0,0.0,0.0,0.0
fn2,8.0,8.0,7.0,8.0
tp2,0.0,0.0,1.0,0.0
acc_test3,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7058823529411765
precision3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
recall3,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
f1score3,0.4,0.4,0.4,0.4444444444444445
roc3,0.5928571428571427,0.5928571428571427,0.5928571428571427,0.6428571428571428
tn3,9.0,9.0,9.0,10.0
fp3,1.0,1.0,1.0,0.0
fn3,5.0,5.0,5.0,5.0
tp3,2.0,2.0,2.0,2.0
