parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.18094439414078495
importance_type,split
learning_rate,0.0027726075275041405
max_depth,2
min_child_samples,36
min_child_weight,1
min_split_gain,0.0
n_estimators,1930
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,1.7000000000000002
reg_lambda,1.5
silent,warn
subsample,0.6886830213960669
subsample_for_bin,313785
subsample_freq,0
verbose,0
boost_from_average,True
force_col_wise,true
max_bin,754
metric,binary_logloss
scale_pos_weight,0.6000000000000002
cv,3
scoring,precision
num_col,98
iterations,50
best_score,0.7564102564102564
best_index,35.0
acc_train,0.8125
acc_val,0.5208333333333334
acc_test,0.65
precision,0.7777777777777778
recall,0.2692307692307692
f1score,0.39999999999999997
roc,0.6052036199095022
tn,32.0
fp,2.0
fn,19.0
tp,7.0
acc_test1,0.7
precision1,1.0
recall1,0.4
f1score1,0.5714285714285715
roc1,0.7
tn1,10.0
fp1,0.0
fn1,6.0
tp1,4.0
acc_test2,0.65
precision2,1.0
recall2,0.2222222222222222
f1score2,0.3636363636363636
roc2,0.6111111111111112
tn2,11.0
fp2,0.0
fn2,7.0
tp2,2.0
acc_test3,0.6
precision3,0.3333333333333333
recall3,0.14285714285714285
f1score3,0.2
roc3,0.49450549450549447
tn3,11.0
fp3,2.0
fn3,6.0
tp3,1.0
