parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.5,0.6
importance_type,split,split
learning_rate,0.001,0.001
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1300,1100
n_jobs,-1,-1
num_leaves,6,6
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,1,1
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0
cv,,
scoring,precision,precision
num_col,110,95
best_score,0.6183838383838384,0.6133333333333333
best_index,18.0,180.0
acc_train,0.9194630872483222,0.8926174496644296
acc_val,0.631578947368421,0.6578947368421053
acc_test,0.6595744680851063,0.6170212765957447
precision,0.7222222222222222,0.6875
recall,0.5416666666666666,0.4583333333333333
f1score,0.619047619047619,0.5499999999999999
roc,0.6621376811594203,0.6204710144927537
tn,18.0,18.0
fp,5.0,5.0
fn,11.0,13.0
tp,13.0,11.0
acc_test1,0.7333333333333333,0.6666666666666666
precision1,0.8571428571428571,0.8333333333333334
recall1,0.6666666666666666,0.5555555555555556
f1score1,0.75,0.6666666666666667
roc1,0.75,0.6944444444444444
tn1,5.0,5.0
fp1,1.0,1.0
fn1,3.0,4.0
tp1,6.0,5.0
acc_test2,0.6666666666666666,0.6
precision2,1.0,1.0
recall2,0.375,0.25
f1score2,0.5454545454545454,0.4
roc2,0.6875,0.625
tn2,7.0,7.0
fp2,0.0,0.0
fn2,5.0,6.0
tp2,3.0,2.0
acc_test3,0.5882352941176471,0.5882352941176471
precision3,0.5,0.5
recall3,0.5714285714285714,0.5714285714285714
f1score3,0.5333333333333333,0.5333333333333333
roc3,0.5857142857142857,0.5857142857142857
tn3,6.0,6.0
fp3,4.0,4.0
fn3,3.0,3.0
tp3,4.0,4.0
