parameter,value1,value2
cv,3,5
iterations,50,50
num_col,98,98
scoring,precision,precision
boost_from_average,False,True
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,1.0,0.8275480171675564
force_col_wise,true,true
importance_type,gain,split
learning_rate,0.004,0.0006084156574287244
max_bin,100,505
max_depth,50,50
metric,binary_logloss,binary_logloss
min_child_samples,5,13
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,700,4518
n_jobs,-1,-1
num_leaves,3,4
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
scale_pos_weight,0.2,0.2
silent,warn,warn
subsample,1.0,0.8400645600370469
subsample_for_bin,500000,392106
subsample_freq,0,0
verbose,0,0
best_score,0.7722222222222223,0.8873015873015874
best_index,18.0,23.0
acc_train,0.5969387755102041,0.6632653061224489
acc_val,0.3877551020408163,0.40816326530612246
acc_test,0.5967741935483871,0.5645161290322581
precision,0.2857142857142857,0.2222222222222222
recall,0.09090909090909091,0.09090909090909091
f1score,0.13793103448275862,0.1290322580645161
roc,0.4829545454545454,0.4579545454545454
tn,35.0,33.0
fp,5.0,7.0
fn,20.0,20.0
tp,2.0,2.0
acc_test1,0.65,0.5
precision1,0.0,0.0
recall1,0.0,0.0
f1score1,0.0,0.0
roc1,0.4642857142857143,0.35714285714285715
tn1,13.0,10.0
fp1,1.0,4.0
fn1,6.0,6.0
tp1,0.0,0.0
acc_test2,0.65,0.7
precision2,0.25,0.3333333333333333
recall2,0.2,0.2
f1score2,0.22222222222222224,0.25
roc2,0.5,0.5333333333333333
tn2,12.0,13.0
fp2,3.0,2.0
fn2,4.0,4.0
tp2,1.0,1.0
acc_test3,0.5,0.5
precision3,0.5,0.5
recall3,0.09090909090909091,0.09090909090909091
f1score3,0.15384615384615385,0.15384615384615385
roc3,0.49999999999999994,0.49999999999999994
tn3,10.0,10.0
fp3,1.0,1.0
fn3,10.0,10.0
tp3,1.0,1.0
