parameter,value1,value2,value6,value8
cv,3,5,3,5
iterations,50,50,30,70
num_col,98,98,98,98
scoring,precision,precision,precision,precision
boost_from_average,False,True,True,True
boosting_type,gbdt,gbdt,gbdt,dart
class_weight,,,,
colsample_bytree,1.0,0.8275480171675564,0.3622278172617969,0.9767051763513801
force_col_wise,true,true,true,true
importance_type,gain,split,split,split
learning_rate,0.004,0.0006084156574287244,0.0008966376442750347,0.00013347105530408428
max_bin,100,505,684,639
max_depth,50,50,21,1
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,13,27,7
min_child_weight,0.001,0.001,5,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,700,4518,6818,7657
n_jobs,-1,-1,-1,-1
num_leaves,3,4,10,8
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.0,0.0,1.8740622569248186,0.0
reg_lambda,0.0,0.0,3.2608418976021243,9.243913795797367
scale_pos_weight,0.2,0.2,0.7892600062914028,0.35602307587672133
silent,warn,warn,warn,warn
subsample,1.0,0.8400645600370469,0.3982415029612957,0.7654327850424913
subsample_for_bin,500000,392106,306651,386125
subsample_freq,0,0,0,0
verbose,0,0,0,0
best_score,0.7722222222222223,0.8873015873015874,0.5953744764720375,0.8933333333333333
best_index,18.0,23.0,6.0,30.0
acc_train,0.5969387755102041,0.6632653061224489,0.9489795918367347,0.5714285714285714
acc_val,0.3877551020408163,0.40816326530612246,0.4897959183673469,0.40816326530612246
acc_test,0.5967741935483871,0.5645161290322581,0.3870967741935484,0.6129032258064516
precision,0.2857142857142857,0.2222222222222222,0.32608695652173914,0.375
recall,0.09090909090909091,0.09090909090909091,0.6818181818181818,0.13636363636363635
f1score,0.13793103448275862,0.1290322580645161,0.4411764705882353,0.19999999999999998
roc,0.4829545454545454,0.4579545454545454,0.4534090909090909,0.5056818181818181
tn,35.0,33.0,9.0,35.0
fp,5.0,7.0,31.0,5.0
fn,20.0,20.0,7.0,19.0
tp,2.0,2.0,15.0,3.0
acc_test1,0.65,0.5,0.45,0.6
precision1,0.0,0.0,0.35294117647058826,0.25
recall1,0.0,0.0,1.0,0.16666666666666666
f1score1,0.0,0.0,0.5217391304347826,0.2
roc1,0.4642857142857143,0.35714285714285715,0.6071428571428572,0.4761904761904762
tn1,13.0,10.0,3.0,11.0
fp1,1.0,4.0,11.0,3.0
fn1,6.0,6.0,0.0,5.0
tp1,0.0,0.0,6.0,1.0
acc_test2,0.65,0.7,0.3,0.7
precision2,0.25,0.3333333333333333,0.2,0.3333333333333333
recall2,0.2,0.2,0.6,0.2
f1score2,0.22222222222222224,0.25,0.3,0.25
roc2,0.5,0.5333333333333333,0.39999999999999997,0.5333333333333333
tn2,12.0,13.0,3.0,13.0
fp2,3.0,2.0,12.0,2.0
fn2,4.0,4.0,2.0,4.0
tp2,1.0,1.0,3.0,1.0
acc_test3,0.5,0.5,0.4090909090909091,0.5454545454545454
precision3,0.5,0.5,0.42857142857142855,1.0
recall3,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.09090909090909091
f1score3,0.15384615384615385,0.15384615384615385,0.4799999999999999,0.16666666666666669
roc3,0.49999999999999994,0.49999999999999994,0.40909090909090906,0.5454545454545454
tn3,10.0,10.0,3.0,11.0
fp3,1.0,1.0,8.0,0.0
fn3,10.0,10.0,5.0,10.0
tp3,1.0,1.0,6.0,1.0
