parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.6,0.6
importance_type,split,split
learning_rate,0.0017,0.0017
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,1400,1400
n_jobs,-1,-1
num_leaves,6,5
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,1,0.2
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5
cv,,
scoring,precision,precision
num_col,110,110
best_score,0.5925,0.5925
best_index,280.0,543.0
acc_train,0.9074074074074074,0.9074074074074074
acc_val,0.5555555555555556,0.5555555555555556
acc_test,0.38235294117647056,0.38235294117647056
precision,0.4,0.4
recall,0.8,0.8
f1score,0.5333333333333333,0.5333333333333333
roc,0.42631578947368426,0.42631578947368426
tn,1.0,1.0
fp,18.0,18.0
fn,3.0,3.0
tp,12.0,12.0
acc_test1,0.2727272727272727,0.2727272727272727
precision1,0.375,0.375
recall1,0.5,0.5
f1score1,0.42857142857142855,0.42857142857142855
roc1,0.25,0.25
tn1,0.0,0.0
fp1,5.0,5.0
fn1,3.0,3.0
tp1,3.0,3.0
acc_test2,0.45454545454545453,0.45454545454545453
precision2,0.45454545454545453,0.45454545454545453
recall2,1.0,1.0
f1score2,0.625,0.625
roc2,0.5,0.5
tn2,0.0,0.0
fp2,6.0,6.0
fn2,0.0,0.0
tp2,5.0,5.0
acc_test3,0.4166666666666667,0.4166666666666667
precision3,0.36363636363636365,0.36363636363636365
recall3,1.0,1.0
f1score3,0.5333333333333333,0.5333333333333333
roc3,0.5625,0.5625
tn3,1.0,1.0
fp3,7.0,7.0
fn3,0.0,0.0
tp3,4.0,4.0
