parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.10933486275994007
importance_type,split
learning_rate,0.00020003937281998327
max_depth,8
min_child_samples,25
min_child_weight,10
min_split_gain,0.0
n_estimators,2318
n_jobs,-1
num_leaves,8
objective,binary
random_state,
reg_alpha,2.0
reg_lambda,1.7000000000000002
silent,warn
subsample,0.9969204043266121
subsample_for_bin,192030
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,508
scale_pos_weight,0.8000000000000003
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.67
best_index,2.0
acc_train,0.668918918918919
acc_val,0.6842105263157895
acc_test,0.6382978723404256
precision,1.0
recall,0.2916666666666667
f1score,0.45161290322580644
roc,0.6458333333333334
tn,23.0
fp,0.0
fn,17.0
tp,7.0
acc_test1,0.6666666666666666
precision1,1.0
recall1,0.4444444444444444
f1score1,0.6153846153846153
roc1,0.7222222222222222
tn1,6.0
fp1,0.0
fn1,5.0
tp1,4.0
acc_test2,0.6666666666666666
precision2,1.0
recall2,0.16666666666666666
f1score2,0.2857142857142857
roc2,0.5833333333333334
tn2,9.0
fp2,0.0
fn2,5.0
tp2,1.0
acc_test3,0.5882352941176471
precision3,1.0
recall3,0.2222222222222222
f1score3,0.3636363636363636
roc3,0.6111111111111112
tn3,8.0
fp3,0.0
fn3,7.0
tp3,2.0
