parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.6
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1100
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.6
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,
num_col,110.0
best_score,0.575
best_index,540.0
acc_train,0.925
acc_val,0.4838709677419355
acc_test,0.5
precision,0.5294117647058824
recall,0.45
f1score,0.48648648648648646
roc,0.5027777777777778
tn,10.0
fp,8.0
fn,11.0
tp,9.0
acc_test1,0.5
precision1,0.75
recall1,0.375
f1score1,0.5
roc1,0.5625
tn1,3.0
fp1,1.0
fn1,5.0
tp1,3.0
acc_test2,0.3333333333333333
precision2,0.2857142857142857
recall2,0.4
f1score2,0.3333333333333333
roc2,0.34285714285714286
tn2,2.0
fp2,5.0
fn2,3.0
tp2,2.0
acc_test3,0.6428571428571429
precision3,0.6666666666666666
recall3,0.5714285714285714
f1score3,0.6153846153846153
roc3,0.6428571428571428
tn3,5.0
fp3,2.0
fn3,3.0
tp3,4.0
