parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.002
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1200
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,
num_col,110.0
best_score,0.5413793103448276
best_index,118.0
acc_train,0.958904109589041
acc_val,0.5405405405405406
acc_test,0.6956521739130435
precision,0.71875
recall,0.8214285714285714
f1score,0.7666666666666666
roc,0.6607142857142857
tn,9.0
fp,9.0
fn,5.0
tp,23.0
acc_test1,0.6666666666666666
precision1,0.7272727272727273
recall1,0.8
f1score1,0.761904761904762
roc1,0.6000000000000001
tn1,2.0
fp1,3.0
fn1,2.0
tp1,8.0
acc_test2,0.8
precision2,0.7272727272727273
recall2,1.0
f1score2,0.8421052631578948
roc2,0.7857142857142857
tn2,4.0
fp2,3.0
fn2,0.0
tp2,8.0
acc_test3,0.625
precision3,0.7
recall3,0.7
f1score3,0.7
roc3,0.6
tn3,3.0
fp3,3.0
fn3,3.0
tp3,7.0
