parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.5,0.5,0.6,0.8,0.9,1.0
importance_type,split,split,split,split,split,split
learning_rate,0.002,0.002,0.002,0.0015,0.002,0.0025
max_depth,-1,-1,-1,-1,-1,-1
min_child_samples,20,20,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1200,1200,1100,1400,1400,1400
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,6,6,6,5,5,4
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn,warn,warn
subsample,1,0.5,0.4,0.3,0.2,0.4
subsample_for_bin,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.5,1.5,1.5,1.5,1.5
cv,,,,,,
scoring,,,precision,precision,precision,precision
num_col,110.0,110.0,95,95,95,95
best_score,0.5413793103448276,0.5413793103448276,0.5491912179891719,0.5507257448433919,0.5583160800552104,0.5608396178984414
best_index,118.0,678.0,1083.0,921.0,741.0,271.0
acc_train,0.958904109589041,0.958904109589041,0.958904109589041,0.9315068493150684,0.958904109589041,0.9452054794520548
acc_val,0.5405405405405406,0.5405405405405406,0.5135135135135135,0.4864864864864865,0.5135135135135135,0.4594594594594595
acc_test,0.6956521739130435,0.6956521739130435,0.717391304347826,0.6739130434782609,0.6521739130434783,0.6956521739130435
precision,0.71875,0.71875,0.7419354838709677,0.7241379310344828,0.7,0.71875
recall,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.75,0.75,0.8214285714285714
f1score,0.7666666666666666,0.7666666666666666,0.7796610169491526,0.736842105263158,0.7241379310344827,0.7666666666666666
roc,0.6607142857142857,0.6607142857142857,0.6884920634920635,0.6527777777777778,0.625,0.6607142857142857
tn,9.0,9.0,10.0,10.0,9.0,9.0
fp,9.0,9.0,8.0,8.0,9.0,9.0
fn,5.0,5.0,5.0,7.0,7.0,5.0
tp,23.0,23.0,23.0,21.0,21.0,23.0
acc_test1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6666666666666666
precision1,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7,0.7,0.7272727272727273
recall1,0.8,0.8,0.8,0.7,0.7,0.8
f1score1,0.761904761904762,0.761904761904762,0.761904761904762,0.7,0.7,0.761904761904762
roc1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.55,0.55,0.6000000000000001
tn1,2.0,2.0,2.0,2.0,2.0,2.0
fp1,3.0,3.0,3.0,3.0,3.0,3.0
fn1,2.0,2.0,2.0,3.0,3.0,2.0
tp1,8.0,8.0,8.0,7.0,7.0,8.0
acc_test2,0.8,0.8,0.8,0.7333333333333333,0.7333333333333333,0.8
precision2,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7,0.7,0.7272727272727273
recall2,1.0,1.0,1.0,0.875,0.875,1.0
f1score2,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.7777777777777777,0.7777777777777777,0.8421052631578948
roc2,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7232142857142857,0.7232142857142857,0.7857142857142857
tn2,4.0,4.0,4.0,4.0,4.0,4.0
fp2,3.0,3.0,3.0,3.0,3.0,3.0
fn2,0.0,0.0,0.0,1.0,1.0,0.0
tp2,8.0,8.0,8.0,7.0,7.0,8.0
acc_test3,0.625,0.625,0.6875,0.6875,0.625,0.625
precision3,0.7,0.7,0.7777777777777778,0.7777777777777778,0.7,0.7
recall3,0.7,0.7,0.7,0.7,0.7,0.7
f1score3,0.7,0.7,0.7368421052631577,0.7368421052631577,0.7,0.7
roc3,0.6,0.6,0.6833333333333335,0.6833333333333335,0.6,0.6
tn3,3.0,3.0,4.0,4.0,3.0,3.0
fp3,3.0,3.0,2.0,2.0,3.0,3.0
fn3,3.0,3.0,3.0,3.0,3.0,3.0
tp3,7.0,7.0,7.0,7.0,7.0,7.0
