parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11
acc_test,0.6666666666666666,0.696969696969697,0.696969696969697,0.7272727272727273,0.696969696969697,0.7272727272727273,0.696969696969697,0.6666666666666666,0.696969696969697,0.696969696969697,0.6666666666666666
acc_test1,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
acc_test2,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
acc_test3,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.8181818181818182
acc_train,0.7184466019417476,0.7572815533980582,0.7281553398058253,0.7378640776699029,0.7572815533980582,0.7281553398058253,0.7184466019417476,0.7184466019417476,0.7281553398058253,0.7281553398058253,0.7184466019417476
acc_val,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5769230769230769,0.6538461538461539,0.5769230769230769,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
best_index,3.0,6.0,9.0,9.0,4.0,0.0,9.0,9.0,9.0,9.0,3.0
best_score,0.6262337662337661,0.5956493506493505,0.5967099567099567,0.6244155844155844,0.5948917748917749,0.6242857142857143,0.6333333333333333,0.6018070818070819,0.5967099567099567,0.5967099567099567,0.6262337662337661
boost_from_average,True,True,False,False,True,False,False,False,False,False,True
boosting_type,dart,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,dart
class_weight,,,,,,,,,,,
colsample_bytree,0.6000568421245674,0.3622278172617969,0.7425763306461872,0.7425763306461872,0.528987135942054,0.9332036588535947,0.7425763306461872,0.7425763306461872,0.7425763306461872,0.7425763306461872,0.6000568421245674
cv,5,5,5,5,5,5,10,5,5,5,5
f1score,0.7317073170731707,0.7500000000000001,0.7500000000000001,0.7692307692307692,0.7500000000000001,0.7692307692307692,0.7368421052631579,0.7317073170731707,0.7500000000000001,0.7500000000000001,0.7317073170731707
f1score1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
