parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.9332036588535947,0.1677891427453575
importance_type,split,split
learning_rate,0.0011847240811834723,0.0019162589666810593
max_depth,18,23
min_child_samples,16,32
min_child_weight,0.001,6
min_split_gain,0.0,0.0
n_estimators,2190,3232
n_jobs,-1,-1
num_leaves,10,10
objective,binary,binary
random_state,,
reg_alpha,0.30000000000000004,0.9
reg_lambda,1.2000000000000002,1.8
silent,warn,warn
subsample,0.6684947525293031,0.6487712293279236
subsample_for_bin,373099,949309
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,False,True
force_col_wise,true,true
max_bin,473,435
scale_pos_weight,0.30000000000000004,0.6000000000000001
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.6761904761904762,0.6388888888888888
best_index,0.0,5.0
acc_train,0.7758620689655172,0.8448275862068966
acc_val,0.5,0.5909090909090909
acc_test,0.4727272727272727,0.509090909090909
precision,0.8181818181818182,0.7647058823529411
recall,0.25,0.3611111111111111
f1score,0.38297872340425526,0.490566037735849
roc,0.5723684210526316,0.5752923976608187
tn,17.0,15.0
fp,2.0,4.0
fn,27.0,23.0
tp,9.0,13.0
acc_test1,0.4444444444444444,0.5
precision1,0.8,0.75
recall1,0.3076923076923077,0.46153846153846156
f1score1,0.4444444444444444,0.5714285714285714
roc1,0.5538461538461539,0.5307692307692309
tn1,4.0,3.0
fp1,1.0,2.0
fn1,9.0,7.0
tp1,4.0,6.0
acc_test2,0.3888888888888889,0.6111111111111112
precision2,0.5,1.0
recall2,0.09090909090909091,0.36363636363636365
f1score2,0.15384615384615385,0.5333333333333333
roc2,0.474025974025974,0.6818181818181819
tn2,6.0,7.0
fp2,1.0,0.0
fn2,10.0,7.0
tp2,1.0,4.0
acc_test3,0.5789473684210527,0.42105263157894735
precision3,1.0,0.6
recall3,0.3333333333333333,0.25
f1score3,0.5,0.35294117647058826
roc3,0.6666666666666666,0.48214285714285715
tn3,7.0,5.0
fp3,0.0,2.0
fn3,8.0,9.0
tp3,4.0,3.0
