parameter,value1,value2,value3,value4,value5,value6,value7,value8
cv,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98
scoring,precision,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy
boost_from_average,True,False,False,False,True,True,True,False
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,gbdt
class_weight,,,,,,,,
colsample_bytree,0.06725902934114698,0.3468140200620465,0.10933486275994007,0.6854775746838998,1.0,0.8179228935913039,0.5629071412060936,0.7031923888486763
force_col_wise,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split
learning_rate,0.0008480630832926448,0.00019052490748347692,0.00020003937281998327,0.0005078907197882925,0.0018830307520213594,0.0006951822767440267,0.0001929269994874537,0.00053272064631939
max_bin,269,179,508,381,159,251,800,800
max_depth,26,46,8,18,47,20,15,21
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,11,27,25,34,37,31,29,34
min_child_weight,0.001,0.001,10,5,8,0.001,5,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.02793149598630324,0.0
n_estimators,2541,1546,2318,5572,6771,6048,1445,1126
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,11,8,8,15,9,14,10,10
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42
reg_alpha,3.000937259850741,2.4910329455682922,2.038204453073899,2.0459319515933925,3.148629813591295,3.3886325712683227,1.0861683324521392,0.8938842030652747
reg_lambda,2.1812876737584275,0.9581631751378371,1.7813856167313924,1.6257686140265706,1.9511890452878167,2.1938893399243393,3.6767096969343993,0.0
scale_pos_weight,0.48553031106774847,0.6954495168961843,0.8500527551388624,0.8763621309867726,1.302704520073328,0.7204782058803016,0.8005649976610572,0.9110672479562705
silent,warn,warn,warn,warn,warn,warn,warn,warn
