parameter,value1,value2,value3,value4,value5,value6,value7,value8
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,
colsample_bytree,0.9332036588535947,0.9332036588535947,0.4621802908045128,0.49898437007873314,0.10933486275994007,0.1677891427453575,0.18343660639813456,0.10933486275994007
importance_type,split,split,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723,0.0004468166431305088,0.0003304939642148201,0.00020003937281998327,0.0019162589666810593,0.0018810260653660722,0.00020003937281998327
max_depth,18,18,30,29,8,23,31,8
min_child_samples,16,16,18,19,25,32,32,25
min_child_weight,0.001,0.001,0.001,0.001,10,8,4,10
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2190,2190,2592,2600,2318,2054,1944,2318
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,10,8,7,8,10,11,8
objective,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,
reg_alpha,0.7000000000000001,0.5,1.0,1.3,1.0,0.9,1.1,1.0
reg_lambda,2.5,1.8,0.1,0.1,0.8,1.8,1.7000000000000002,0.8
silent,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.6684947525293031,0.7223460694047724,0.5597576125719046,0.9969204043266121,0.6487712293279236,0.6646146624915407,0.9969204043266121
subsample_for_bin,373099,373099,377706,439614,192030,477471,471013,192030
subsample_freq,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1
boost_from_average,False,False,True,True,False,True,True,False
force_col_wise,true,true,true,true,true,true,true,true
max_bin,473,473,233,146,508,435,385,508
scale_pos_weight,0.30000000000000004,0.30000000000000004,0.6000000000000002,0.6000000000000002,0.7500000000000002,0.6000000000000002,0.6500000000000001,0.7500000000000002
cv,5,10,10,10,10,10,10,10
scoring,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,101,101,101,101,101
iterations,10,15,15,15,15,15,15,15
best_score,0.7499999999999999,0.7666666666666666,0.8183333333333334,0.75,0.8216666666666667,0.8066666666666666,0.7583333333333333,0.8216666666666667
best_index,0.0,0.0,13.0,7.0,2.0,5.0,14.0,2.0
acc_train,0.738255033557047,0.7583892617449665,0.7651006711409396,0.7449664429530202,0.7046979865771812,0.7315436241610739,0.7919463087248322,0.7046979865771812
acc_val,0.631578947368421,0.6578947368421053,0.6052631578947368,0.6052631578947368,0.631578947368421,0.6578947368421053,0.631578947368421,0.631578947368421
acc_test,0.5319148936170213,0.5319148936170213,0.5957446808510638,0.574468085106383,0.6595744680851063,0.5957446808510638,0.6595744680851063,0.6595744680851063
precision,0.75,0.75,0.8571428571428571,1.0,1.0,1.0,0.9,1.0
recall,0.125,0.125,0.25,0.16666666666666666,0.3333333333333333,0.20833333333333334,0.375,0.3333333333333333
f1score,0.21428571428571427,0.21428571428571427,0.3870967741935483,0.2857142857142857,0.5,0.3448275862068966,0.5294117647058825,0.5
roc,0.5407608695652174,0.5407608695652174,0.6032608695652174,0.5833333333333334,0.6666666666666666,0.6041666666666666,0.6657608695652174,0.6666666666666666
tn,22.0,22.0,22.0,23.0,23.0,23.0,22.0,23.0
fp,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
