parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.10933486275994007,0.10933486275994007
importance_type,split,split
learning_rate,0.00020003937281998327,0.00020003937281998327
max_depth,8,8
min_child_samples,25,25
min_child_weight,10,10
min_split_gain,0.0,0.0
n_estimators,2318,2318
n_jobs,-1,-1
num_leaves,8,8
objective,binary,binary
random_state,,
reg_alpha,1.0,1.0
reg_lambda,0.8,0.8
silent,warn,warn
subsample,0.9969204043266121,0.9969204043266121
subsample_for_bin,192030,192030
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,False,False
force_col_wise,true,true
max_bin,508,508
scale_pos_weight,0.7500000000000002,0.7500000000000002
cv,10,10
scoring,precision,precision
num_col,110,13
iterations,15,15
best_score,0.8166666666666667,0.8166666666666667
best_index,2.0,2.0
acc_train,0.7046979865771812,0.7046979865771812
acc_val,0.631578947368421,0.631578947368421
acc_test,0.6595744680851063,0.6595744680851063
precision,1.0,1.0
recall,0.3333333333333333,0.3333333333333333
f1score,0.5,0.5
roc,0.6666666666666666,0.6666666666666666
tn,23.0,23.0
fp,0.0,0.0
fn,16.0,16.0
tp,8.0,8.0
acc_test1,0.6666666666666666,0.6666666666666666
precision1,1.0,1.0
recall1,0.4444444444444444,0.4444444444444444
f1score1,0.6153846153846153,0.6153846153846153
roc1,0.7222222222222222,0.7222222222222222
tn1,6.0,6.0
fp1,0.0,0.0
fn1,5.0,5.0
tp1,4.0,4.0
acc_test2,0.5333333333333333,0.5333333333333333
precision2,1.0,1.0
recall2,0.125,0.125
f1score2,0.2222222222222222,0.2222222222222222
roc2,0.5625,0.5625
tn2,7.0,7.0
fp2,0.0,0.0
fn2,7.0,7.0
tp2,1.0,1.0
acc_test3,0.7647058823529411,0.7647058823529411
precision3,1.0,1.0
recall3,0.42857142857142855,0.42857142857142855
f1score3,0.6,0.6
roc3,0.7142857142857143,0.7142857142857143
tn3,10.0,10.0
fp3,0.0,0.0
fn3,4.0,4.0
tp3,3.0,3.0
