parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.9435703782153755,0.872293668820899,0.1677891427453575
importance_type,split,split,split
learning_rate,0.00026216307026628627,0.00040783886902393755,0.0019162589666810593
max_depth,0,0,23
min_child_samples,30,26,32
min_child_weight,0,2,6
min_split_gain,0.0,0.0,0.0
n_estimators,2657,2465,2054
n_jobs,-1,-1,-1
num_leaves,8,8,10
objective,binary,binary,binary
random_state,,,
reg_alpha,0.0,0.4,0.9
reg_lambda,0.9,0.7000000000000001,1.8
silent,warn,warn,warn
subsample,0.7852174811807537,0.7473968543326747,0.6487712293279236
subsample_for_bin,500000,481885,477471
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,True,True,True
force_col_wise,true,true,true
max_bin,190,290,435
scale_pos_weight,0.7500000000000002,0.8500000000000002,0.6000000000000002
cv,10,10,5
scoring,precision,precision,precision
num_col,110,110,110
iterations,15,10,10
best_score,0.8814285714285715,0.861547619047619,0.8119047619047619
best_index,10.0,8.0,5.0
acc_train,0.75,0.8072916666666666,0.8229166666666666
acc_val,0.5625,0.5208333333333334,0.5208333333333334
acc_test,0.5833333333333334,0.5833333333333334,0.6333333333333333
precision,0.5714285714285714,0.5555555555555556,0.75
recall,0.15384615384615385,0.19230769230769232,0.23076923076923078
f1score,0.24242424242424246,0.28571428571428575,0.3529411764705882
roc,0.5328054298642533,0.5373303167420814,0.5859728506787331
tn,31.0,30.0,32.0
fp,3.0,4.0,2.0
fn,22.0,21.0,20.0
tp,4.0,5.0,6.0
acc_test1,0.6,0.6,0.65
precision1,1.0,1.0,1.0
recall1,0.2,0.2,0.3
f1score1,0.33333333333333337,0.33333333333333337,0.4615384615384615
roc1,0.6,0.6,0.65
tn1,10.0,10.0,10.0
fp1,0.0,0.0,0.0
fn1,8.0,8.0,7.0
tp1,2.0,2.0,3.0
acc_test2,0.6,0.65,0.65
precision2,1.0,1.0,1.0
recall2,0.1111111111111111,0.2222222222222222,0.2222222222222222
f1score2,0.19999999999999998,0.3636363636363636,0.3636363636363636
roc2,0.5555555555555556,0.6111111111111112,0.6111111111111112
tn2,11.0,11.0,11.0
fp2,0.0,0.0,0.0
fn2,8.0,7.0,7.0
tp2,1.0,2.0,2.0
acc_test3,0.55,0.5,0.6
precision3,0.25,0.2,0.3333333333333333
recall3,0.14285714285714285,0.14285714285714285,0.14285714285714285
f1score3,0.18181818181818182,0.16666666666666666,0.2
roc3,0.456043956043956,0.41758241758241754,0.49450549450549447
tn3,10.0,9.0,11.0
fp3,3.0,4.0,2.0
fn3,6.0,6.0,6.0
tp3,1.0,1.0,1.0
