parameter,value3
boosting_type,gbdt
class_weight,
colsample_bytree,0.4503841871781403
importance_type,split
learning_rate,0.002593433302326685
max_depth,-1
min_child_samples,19
min_child_weight,2
min_split_gain,0.0
n_estimators,1118
n_jobs,-1
num_leaves,4
objective,binary
random_state,
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.7540370060270916
subsample_for_bin,322936
subsample_freq,10
metric,precision
verbose,0
cv,
scoring,precision
num_col,110
iterations,10
best_score,0.5193362193362192
best_index,2.0
acc_train,0.954248366013072
acc_val,0.46153846153846156
acc_test,0.5918367346938775
precision,0.5625
recall,0.4090909090909091
f1score,0.47368421052631576
roc,0.5749158249158248
tn,20.0
fp,7.0
fn,13.0
tp,9.0
acc_test1,0.5
precision1,0.625
recall1,0.5
f1score1,0.5555555555555556
roc1,0.5
tn1,3.0
fp1,3.0
fn1,5.0
tp1,5.0
acc_test2,0.5
precision2,0.4
recall2,0.2857142857142857
f1score2,0.3333333333333333
roc2,0.4761904761904762
tn2,6.0
fp2,3.0
fn2,5.0
tp2,2.0
acc_test3,0.7647058823529411
precision3,0.6666666666666666
recall3,0.4
f1score3,0.5
roc3,0.6583333333333333
tn3,11.0
fp3,1.0
fn3,3.0
tp3,2.0
