parameter,value2,value4,value5
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.9454327638424945,0.894983749642776,0.7305593001592294
importance_type,split,split,split
learning_rate,0.0007007988503825381,0.0027489451641867055,0.0010532748240661071
max_depth,-1,-1,-1
min_child_samples,20,17,15
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1174,1048,1059
n_jobs,-1,-1,-1
num_leaves,8,7,7
objective,binary,binary,binary
random_state,,,
reg_alpha,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0
silent,warn,warn,warn
subsample,0.5930070264428381,0.6336020558163782,0.7697045536001489
subsample_for_bin,325840,496918,277761
subsample_freq,0,8,1
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
force_col_wise,true,true,true
cv,,,
scoring,precision,precision,precision
num_col,110,110,110
iterations,10,10,10
best_score,0.5775757575757576,0.5476190476190477,0.5063492063492063
best_index,5.0,1.0,8.0
acc_train,0.9084967320261438,0.9477124183006536,0.954248366013072
acc_val,0.48717948717948717,0.5384615384615384,0.5384615384615384
acc_test,0.6326530612244898,0.6122448979591837,0.6326530612244898
precision,0.6666666666666666,0.6,0.6666666666666666
recall,0.36363636363636365,0.4090909090909091,0.36363636363636365
f1score,0.4705882352941177,0.4864864864864865,0.4705882352941177
roc,0.6077441077441078,0.5934343434343434,0.6077441077441078
tn,23.0,21.0,23.0
fp,4.0,6.0,4.0
fn,14.0,13.0,14.0
tp,8.0,9.0,8.0
acc_test1,0.5,0.5625,0.5625
precision1,0.6666666666666666,0.8,0.8
recall1,0.4,0.4,0.4
f1score1,0.5,0.5333333333333333,0.5333333333333333
roc1,0.5333333333333333,0.6166666666666667,0.6166666666666667
tn1,4.0,5.0,5.0
fp1,2.0,1.0,1.0
fn1,6.0,6.0,6.0
tp1,4.0,4.0,4.0
acc_test2,0.625,0.5625,0.5625
precision2,0.6666666666666666,0.5,0.5
recall2,0.2857142857142857,0.2857142857142857,0.2857142857142857
f1score2,0.4,0.36363636363636365,0.36363636363636365
roc2,0.5873015873015872,0.5317460317460316,0.5317460317460316
tn2,8.0,7.0,7.0
fp2,1.0,2.0,2.0
fn2,5.0,5.0,5.0
tp2,2.0,2.0,2.0
acc_test3,0.7647058823529411,0.7058823529411765,0.7647058823529411
precision3,0.6666666666666666,0.5,0.6666666666666666
recall3,0.4,0.6,0.4
f1score3,0.5,0.5454545454545454,0.5
roc3,0.6583333333333333,0.675,0.6583333333333333
tn3,11.0,9.0,11.0
fp3,1.0,3.0,1.0
fn3,3.0,2.0,3.0
tp3,2.0,3.0,2.0
