parameter,value2,value4,value5,value6,value7,value8,value9,value14,value15,value16,value19,value21,value22,value23,value24
acc_test,0.6326530612244898,0.6122448979591837,0.6326530612244898,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.6122448979591837,0.6122448979591837,0.6326530612244898,0.6122448979591837,0.5918367346938775
acc_test1,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5625,0.5625,0.5625,0.4375,0.4375,0.625,0.4375,0.4375
acc_test2,0.625,0.5625,0.5625,0.4375,0.4375,0.5625,0.5625,0.4375,0.4375,0.4375,0.625,0.625,0.5,0.5,0.4375
acc_test3,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8823529411764706,0.8823529411764706
acc_train,0.9084967320261438,0.9477124183006536,0.954248366013072,0.9607843137254902,0.934640522875817,0.9803921568627451,0.9803921568627451,0.954248366013072,0.954248366013072,0.954248366013072,0.9738562091503268,0.9738562091503268,1.0,0.9150326797385621,0.9150326797385621
acc_val,0.48717948717948717,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.46153846153846156,0.48717948717948717
best_index,5.0,1.0,8.0,9.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,19.0,1.0,1.0
best_score,0.5775757575757576,0.5476190476190477,0.5063492063492063,0.6018181818181818,0.5866666666666666,0.6156709956709957,0.6156709956709957,0.6252680652680652,0.6252680652680652,0.6252680652680652,0.6548484848484849,0.6548484848484849,0.652034632034632,0.5544444444444444,0.6266666666666666
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,
colsample_bytree,0.9454327638424945,0.894983749642776,0.7305593001592294,0.8360470176973764,0.7549531688595925,0.7305593001592294,0.7305593001592294,0.7549531688595925,0.7549531688595925,0.7549531688595925,0.7305593001592294,0.7305593001592294,0.23727680290983313,0.894983749642776,0.894983749642776
cv,,,,,,,,,,,,,,,
f1score,0.4705882352941177,0.4864864864864865,0.4705882352941177,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4571428571428572,0.4571428571428572,0.5263157894736842,0.4864864864864865,0.47368421052631576
f1score1,0.5,0.5333333333333333,0.5333333333333333,0.588235294117647,0.588235294117647,0.5555555555555556,0.5555555555555556,0.588235294117647,0.588235294117647,0.588235294117647,0.47058823529411764,0.47058823529411764,0.6666666666666665,0.47058823529411764,0.47058823529411764
f1score2,0.4,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.22222222222222224,0.22222222222222224,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4,0.4,0.3333333333333333,0.2,0.18181818181818182
f1score3,0.5,0.5454545454545454,0.5,0.5,0.5,0.4444444444444445,0.4444444444444445,0.5,0.5,0.5,0.5,0.5,0.5,0.8000000000000002,0.8000000000000002
fn,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,13.0,13.0
fn1,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0
