parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,dart,dart,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,
colsample_bytree,0.9332036588535947,0.017728682039998164,0.9426910925740895,0.49898437007873314,0.19696433160861626,0.49898437007873314,0.017728682039998164,0.017728682039998164,0.3622278172617969,0.528987135942054,0.528987135942054,0.528987135942054,0.49898437007873314,0.017728682039998164,1.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0035600355599447234,0.0001,0.0003304939642148201,0.00031338011934960126,0.0003304939642148201,0.0035600355599447234,0.0035600355599447234,0.000890045629333899,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.0003304939642148201,0.0035600355599447234,0.0005194819490361458
max_depth,18,0,11,29,50,29,0,0,32,21,21,21,29,0,50
min_child_samples,16,34,23,19,24,19,34,34,31,17,17,17,19,34,5
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2190,3144,1691,5903,5498,5903,3144,3144,4696,4854,4854,4854,5903,3144,8000
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,14,4,7,5,7,14,14,14,9,9,9,7,14,15
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,,,
reg_alpha,0.30000000000000004,1.0,0.4,1.3,0.9,1.3,1.0,1.0,1.2000000000000002,0.5,0.7000000000000001,0.7000000000000001,1.3,1.0,1.9000000000000001
reg_lambda,1.2000000000000002,0.7000000000000001,0.0,0.1,0.7000000000000001,0.1,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.5,0.8,0.8,0.1,0.7000000000000001,1.9000000000000001
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.9781910419420708,0.8742900003384773,0.5597576125719046,0.8537124741819209,0.5597576125719046,0.9781910419420708,0.9781910419420708,0.8161344220285284,0.9860608005968848,0.9860608005968848,0.9860608005968848,0.5597576125719046,0.9781910419420708,0.005
subsample_for_bin,373099,482568,176326,524517,590744,524517,482568,482568,230947,116672,116672,116672,439614,482568,500000
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,473,656,100,146,100,146,656,656,635,745,745,745,146,656,100
scale_pos_weight,0.30000000000000004,0.5000000000000001,0.5000000000000001,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.5000000000000001,0.5000000000000001,1.0000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.5000000000000001,0.2
cv,5,5,5,5,5,5,5,5,4,3,3,3,6,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,10,15,15,15,15,15,15,15,15,15,15,20,15,15,15
best_score,0.6866666666666668,0.755909090909091,0.7016195569136745,0.7012121212121212,0.7146428571428571,0.7012121212121212,0.755909090909091,0.755909090909091,0.6630434782608695,0.7206959706959707,0.7131202131202131,0.7131202131202131,0.6754655067155068,0.755909090909091,1.0
best_index,0.0,12.0,12.0,7.0,12.0,7.0,12.0,12.0,6.0,4.0,4.0,4.0,7.0,12.0,14.0
acc_train,0.8369565217391305,0.8097826086956522,0.7228260869565217,0.8913043478260869,0.8478260869565217,0.8913043478260869,0.8097826086956522,0.8097826086956522,0.9184782608695652,1.0,1.0,1.0,0.8913043478260869,0.8097826086956522,0.6847826086956522
acc_val,0.4782608695652174,0.5434782608695652,0.4782608695652174,0.5,0.5217391304347826,0.5,0.5434782608695652,0.5434782608695652,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.5217391304347826,0.5,0.5434782608695652,0.5
acc_test,0.4827586206896552,0.603448275862069,0.4482758620689655,0.46551724137931033,0.46551724137931033,0.46551724137931033,0.603448275862069,0.603448275862069,0.5,0.4482758620689655,0.43103448275862066,0.43103448275862066,0.46551724137931033,0.603448275862069,0.5
precision,0.5833333333333334,0.8,0.5,0.5238095238095238,0.52,0.5238095238095238,0.8,0.8,0.5483870967741935,0.5,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.8,0.8
recall,0.21875,0.375,0.21875,0.34375,0.40625,0.34375,0.375,0.375,0.53125,0.34375,0.3125,0.3125,0.34375,0.375,0.125
f1score,0.31818181818181823,0.5106382978723405,0.30434782608695654,0.4150943396226415,0.45614035087719296,0.4150943396226415,0.5106382978723405,0.5106382978723405,0.5396825396825397,0.4074074074074074,0.37735849056603776,0.37735849056603776,0.4150943396226415,0.5106382978723405,0.21621621621621623
roc,0.5132211538461539,0.6298076923076923,0.4747596153846154,0.4795673076923077,0.4723557692307692,0.4795673076923077,0.6298076923076923,0.6298076923076923,0.4963942307692308,0.46033653846153844,0.44471153846153844,0.44471153846153844,0.4795673076923077,0.6298076923076923,0.5432692307692307
tn,21.0,23.0,19.0,16.0,14.0,16.0,23.0,23.0,12.0,15.0,15.0,15.0,16.0,23.0,25.0
fp,5.0,3.0,7.0,10.0,12.0,10.0,3.0,3.0,14.0,11.0,11.0,11.0,10.0,3.0,1.0
fn,25.0,20.0,25.0,21.0,19.0,21.0,20.0,20.0,15.0,21.0,22.0,22.0,21.0,20.0,28.0
tp,7.0,12.0,7.0,11.0,13.0,11.0,12.0,12.0,17.0,11.0,10.0,10.0,11.0,12.0,4.0
acc_test1,0.47368421052631576,0.631578947368421,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.631578947368421,0.631578947368421,0.5263157894736842,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.631578947368421,0.5263157894736842
precision1,0.6666666666666666,0.75,0.5,0.5714285714285714,0.6,0.5714285714285714,0.75,0.75,0.5833333333333334,0.5555555555555556,0.5,0.5,0.5714285714285714,0.75,1.0
recall1,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.18181818181818182
f1score1,0.28571428571428575,0.631578947368421,0.26666666666666666,0.4444444444444444,0.5714285714285713,0.4444444444444444,0.631578947368421,0.631578947368421,0.6086956521739131,0.5,0.4210526315789474,0.4210526315789474,0.4444444444444444,0.631578947368421,0.3076923076923077
roc1,0.5284090909090909,0.6477272727272727,0.46590909090909094,0.4943181818181818,0.5227272727272727,0.4943181818181818,0.6477272727272727,0.6477272727272727,0.5056818181818181,0.4772727272727273,0.4318181818181819,0.4318181818181819,0.4943181818181818,0.6477272727272727,0.5909090909090909
tn1,7.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,6.0,8.0
