parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.9904336223822104,0.49898437007873314,0.49898437007873314,0.9332036588535947
importance_type,split,split,split,split
learning_rate,0.00017770302621086651,0.0003304939642148201,0.0003304939642148201,0.0011847240811834723
max_depth,49,29,29,18
min_child_samples,18,19,19,16
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,2955,2565,3391,2119
n_jobs,-1,-1,-1,-1
num_leaves,7,7,7,10
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,0.4,1.3,1.3,0.6000000000000001
reg_lambda,0.9,0.1,0.1,2.4000000000000004
silent,warn,warn,warn,warn
subsample,0.5463501497345401,0.5597576125719046,0.5597576125719046,0.6684947525293031
subsample_for_bin,379771,439614,439614,373099
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1
boost_from_average,True,True,True,False
force_col_wise,true,true,true,true
max_bin,256,146,146,266
scale_pos_weight,0.4000000000000001,0.7000000000000002,0.7000000000000002,0.30000000000000004
cv,5,5,5,5
scoring,precision,precision,precision,precision
num_col,110,110,110,110
iterations,20,10,10,10
best_score,0.759047619047619,0.7461111111111111,0.7350000000000001,0.77
best_index,13.0,7.0,7.0,0.0
acc_train,0.6927083333333334,0.8072916666666666,0.8385416666666666,0.75
acc_val,0.6041666666666666,0.6458333333333334,0.6666666666666666,0.625
acc_test,0.48333333333333334,0.5166666666666667,0.5333333333333333,0.48333333333333334
precision,0.8333333333333334,0.8,0.7692307692307693,1.0
recall,0.14285714285714285,0.22857142857142856,0.2857142857142857,0.11428571428571428
f1score,0.2439024390243902,0.3555555555555555,0.41666666666666663,0.20512820512820512
roc,0.5514285714285714,0.5742857142857143,0.5828571428571427,0.5571428571428572
tn,24.0,23.0,22.0,25.0
fp,1.0,2.0,3.0,0.0
fn,30.0,27.0,25.0,31.0
tp,5.0,8.0,10.0,4.0
acc_test1,0.5,0.55,0.6,0.45
precision1,1.0,1.0,1.0,1.0
recall1,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333
f1score1,0.2857142857142857,0.4,0.5,0.15384615384615385
roc1,0.5833333333333334,0.625,0.6666666666666666,0.5416666666666666
tn1,8.0,8.0,8.0,8.0
fp1,0.0,0.0,0.0,0.0
fn1,10.0,9.0,8.0,11.0
tp1,2.0,3.0,4.0,1.0
acc_test2,0.55,0.6,0.55,0.6
precision2,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0
recall2,0.2,0.4,0.4,0.2
f1score2,0.30769230769230765,0.5,0.47058823529411764,0.33333333333333337
roc2,0.55,0.6,0.5499999999999999,0.6
tn2,9.0,8.0,7.0,10.0
fp2,1.0,2.0,3.0,0.0
fn2,8.0,6.0,6.0,8.0
tp2,2.0,4.0,4.0,2.0
acc_test3,0.4,0.4,0.45,0.4
precision3,1.0,1.0,1.0,1.0
recall3,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
f1score3,0.14285714285714288,0.14285714285714288,0.2666666666666667,0.14285714285714288
roc3,0.5384615384615384,0.5384615384615384,0.5769230769230769,0.5384615384615384
tn3,7.0,7.0,7.0,7.0
fp3,0.0,0.0,0.0,0.0
fn3,12.0,12.0,11.0,12.0
tp3,1.0,1.0,2.0,1.0
