parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.9332036588535947
importance_type,split
learning_rate,0.0011847240811834723
max_depth,18
min_child_samples,16
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2119
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,0.6000000000000001
reg_lambda,2.4000000000000004
silent,warn
subsample,0.6684947525293031
subsample_for_bin,373099
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,False
force_col_wise,true
max_bin,266
scale_pos_weight,0.30000000000000004
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.77
best_index,0.0
acc_train,0.75
acc_val,0.625
acc_test,0.48333333333333334
precision,1.0
recall,0.11428571428571428
f1score,0.20512820512820512
roc,0.5571428571428572
tn,25.0
fp,0.0
fn,31.0
tp,4.0
acc_test1,0.45
precision1,1.0
recall1,0.08333333333333333
f1score1,0.15384615384615385
roc1,0.5416666666666666
tn1,8.0
fp1,0.0
fn1,11.0
tp1,1.0
acc_test2,0.6
precision2,1.0
recall2,0.2
f1score2,0.33333333333333337
roc2,0.6
tn2,10.0
fp2,0.0
fn2,8.0
tp2,2.0
acc_test3,0.4
precision3,1.0
recall3,0.07692307692307693
f1score3,0.14285714285714288
roc3,0.5384615384615384
tn3,7.0
fp3,0.0
fn3,12.0
tp3,1.0
