parameter,value1,value2,value3,value4,value5,value6
boosting_type,dart,gbdt,dart,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.6000568421245674,0.1677891427453575,0.6000568421245674,0.30689305933475414,0.1677891427453575,0.1677891427453575
importance_type,split,split,split,split,split,split
learning_rate,0.0006885907876058295,0.0019162589666810593,0.0006885907876058295,0.002423174894227271,0.0019162589666810593,0.0019162589666810593
max_depth,38,23,38,7,23,23
min_child_samples,37,32,37,27,32,32
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1467,1894,1467,2884,1894,1894
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,7,10,7,11,10,10
objective,binary,binary,binary,binary,binary,binary
random_state,,,,,,
reg_alpha,1.8,0.0,1.2000000000000002,1.5,0.0,0.0
reg_lambda,0.0,1.8,0.0,0.7000000000000001,0.9,0.9
silent,warn,warn,warn,warn,warn,warn
subsample,0.4488857071819565,0.2639494323813032,0.4488857071819565,0.14532262888502284,0.2639494323813032,0.2639494323813032
subsample_for_bin,225635,358803,225635,119127,358803,358803
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
boost_from_average,True,True,True,True,True,True
force_col_wise,true,true,true,true,true,true
max_bin,138,249,138,125,249,249
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.6000000000000001,0.9000000000000001,0.9000000000000001
cv,5,5,5,7,3,4
scoring,f1,f1,f1,f1,f1,f1
num_col,110,110,110,110,110,110
iterations,10,10,10,10,10,10
best_score,0.5353439153439153,0.545903369999588,0.5445213806504129,0.5428690774555437,0.5161220043572984,0.5531650071123755
best_index,3.0,5.0,3.0,1.0,5.0,5.0
acc_train,0.7604166666666666,0.8854166666666666,0.7604166666666666,0.9479166666666666,0.8958333333333334,0.8958333333333334
acc_val,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6875,0.6875
acc_test,0.6,0.5833333333333334,0.6,0.5333333333333333,0.6,0.6
precision,0.8666666666666667,0.7272727272727273,0.8666666666666667,0.6842105263157895,0.7391304347826086,0.7391304347826086
recall,0.37142857142857144,0.45714285714285713,0.37142857142857144,0.37142857142857144,0.4857142857142857,0.4857142857142857
f1score,0.52,0.5614035087719298,0.52,0.4814814814814815,0.5862068965517241,0.5862068965517241
roc,0.6457142857142858,0.6085714285714285,0.6457142857142858,0.5657142857142857,0.6228571428571429,0.6228571428571429
tn,23.0,19.0,23.0,19.0,19.0,19.0
fp,2.0,6.0,2.0,6.0,6.0,6.0
fn,22.0,19.0,22.0,22.0,18.0,18.0
tp,13.0,16.0,13.0,13.0,17.0,17.0
acc_test1,0.6,0.7,0.6,0.65,0.7,0.7
precision1,1.0,1.0,1.0,1.0,1.0,1.0
recall1,0.3333333333333333,0.5,0.3333333333333333,0.4166666666666667,0.5,0.5
f1score1,0.5,0.6666666666666666,0.5,0.5882352941176471,0.6666666666666666,0.6666666666666666
roc1,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333334,0.75,0.75
tn1,8.0,8.0,8.0,8.0,8.0,8.0
fp1,0.0,0.0,0.0,0.0,0.0,0.0
fn1,8.0,6.0,8.0,7.0,6.0,6.0
tp1,4.0,6.0,4.0,5.0,6.0,6.0
acc_test2,0.75,0.55,0.75,0.65,0.6,0.6
precision2,0.8571428571428571,0.5555555555555556,0.8571428571428571,0.6666666666666666,0.6,0.6
recall2,0.6,0.5,0.6,0.6,0.6,0.6
f1score2,0.7058823529411764,0.5263157894736842,0.7058823529411764,0.631578947368421,0.6,0.6
roc2,0.7500000000000001,0.5499999999999999,0.7500000000000001,0.6499999999999999,0.6,0.6
tn2,9.0,6.0,9.0,7.0,6.0,6.0
fp2,1.0,4.0,1.0,3.0,4.0,4.0
fn2,4.0,5.0,4.0,4.0,4.0,4.0
tp2,6.0,5.0,6.0,6.0,6.0,6.0
acc_test3,0.45,0.5,0.45,0.3,0.5,0.5
precision3,0.75,0.7142857142857143,0.75,0.4,0.7142857142857143,0.7142857142857143
recall3,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.38461538461538464,0.38461538461538464
f1score3,0.3529411764705882,0.5,0.3529411764705882,0.2222222222222222,0.5,0.5
roc3,0.543956043956044,0.5494505494505495,0.543956043956044,0.36263736263736257,0.5494505494505495,0.5494505494505495
tn3,6.0,5.0,6.0,4.0,5.0,5.0
fp3,1.0,2.0,1.0,3.0,2.0,2.0
fn3,10.0,8.0,10.0,11.0,8.0,8.0
tp3,3.0,5.0,3.0,2.0,5.0,5.0
