parameter,value1
boosting_type,goss
class_weight,
colsample_bytree,0.11381056696717655
importance_type,split
learning_rate,0.0007002088049764271
max_depth,23
min_child_samples,33
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1190
n_jobs,-1
num_leaves,10
objective,binary
random_state,
reg_alpha,1.4000000000000001
reg_lambda,0.8
silent,warn
subsample,0.51445560213579
subsample_for_bin,278139
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
cv,5
scoring,precision
num_col,60
iterations,10
best_score,0.795050505050505
best_index,2.0
acc_train,0.7865168539325843
acc_val,0.5777777777777777
acc_test,0.6071428571428571
precision,0.9285714285714286
recall,0.38235294117647056
f1score,0.5416666666666667
roc,0.6684491978609626
tn,21.0
fp,1.0
fn,21.0
tp,13.0
acc_test1,0.5
precision1,0.8333333333333334
recall1,0.38461538461538464
f1score1,0.5263157894736842
roc1,0.5923076923076923
tn1,4.0
fp1,1.0
fn1,8.0
tp1,5.0
acc_test2,0.6666666666666666
precision2,1.0
recall2,0.4
f1score2,0.5714285714285715
roc2,0.7
tn2,8.0
fp2,0.0
fn2,6.0
tp2,4.0
acc_test3,0.65
precision3,1.0
recall3,0.36363636363636365
f1score3,0.5333333333333333
roc3,0.6818181818181819
tn3,9.0
fp3,0.0
fn3,7.0
tp3,4.0
