parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.7,0.7
importance_type,split,split
learning_rate,0.002,0.0017
max_depth,-1,-1
min_child_samples,20,20
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,400,600
n_jobs,-1,-1
num_leaves,7,6
objective,binary,binary
random_state,42,42
reg_alpha,0.0,0.0
reg_lambda,0.0,0.0
silent,warn,warn
subsample,1,1
subsample_for_bin,200000,200000
subsample_freq,0,0
metric,binary_logloss,binary_logloss
scale_pos_weight,2,1.5
cv,,
scoring,,
num_col,76.0,76.0
best_score,0.7556302521008403,0.7673949579831932
best_index,173.0,127.0
acc_train,0.8662790697674418,0.8604651162790697
acc_val,0.6976744186046512,0.7209302325581395
acc_test,0.7592592592592593,0.7407407407407407
precision,0.7142857142857143,0.6666666666666666
recall,0.3125,0.25
f1score,0.43478260869565216,0.36363636363636365
roc,0.6299342105263158,0.5986842105263158
tn,36.0,36.0
fp,2.0,2.0
fn,11.0,12.0
tp,5.0,4.0
acc_test1,0.7222222222222222,0.6666666666666666
precision1,0.6666666666666666,0.5
recall1,0.3333333333333333,0.16666666666666666
f1score1,0.4444444444444444,0.25
roc1,0.6249999999999999,0.5416666666666666
tn1,11.0,11.0
fp1,1.0,1.0
fn1,4.0,5.0
tp1,2.0,1.0
acc_test2,0.7777777777777778,0.7777777777777778
precision2,1.0,1.0
recall2,0.42857142857142855,0.42857142857142855
f1score2,0.6,0.6
roc2,0.7142857142857143,0.7142857142857143
tn2,11.0,11.0
fp2,0.0,0.0
fn2,4.0,4.0
tp2,3.0,3.0
acc_test3,0.7777777777777778,0.7777777777777778
precision3,0.0,0.0
recall3,0.0,0.0
f1score3,0.0,0.0
roc3,0.4666666666666667,0.4666666666666667
tn3,14.0,14.0
fp3,1.0,1.0
fn3,3.0,3.0
tp3,0.0,0.0
