parameter,value5
boosting_type,gbdt
class_weight,
colsample_bytree,0.41
importance_type,split
learning_rate,0.004
max_depth,2
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,100
n_jobs,-1
num_leaves,3
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.1
subsample_for_bin,200000
subsample_freq,0
max_delta_step,0.4
metric,binary_logloss
best_score,0.6860504201680673
best_index,0.0
acc_train,0.686046511627907
acc_val,0.6976744186046512
acc_test,0.7037037037037037
precision,0.0
recall,0.0
f1score,0.0
roc,0.5
tn,38.0
fp,0.0
fn,16.0
tp,0.0
acc_test1,0.6666666666666666
precision1,0.0
recall1,0.0
f1score1,0.0
roc1,0.5
tn1,12.0
fp1,0.0
fn1,6.0
tp1,0.0
acc_test2,0.6111111111111112
precision2,0.0
recall2,0.0
f1score2,0.0
roc2,0.5
tn2,11.0
fp2,0.0
fn2,7.0
tp2,0.0
acc_test3,0.8333333333333334
precision3,0.0
recall3,0.0
f1score3,0.0
roc3,0.5
tn3,15.0
fp3,0.0
fn3,3.0
tp3,0.0
