parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.49898437007873314
importance_type,split
learning_rate,0.0003304939642148201
max_depth,29
min_child_samples,19
min_child_weight,0.001
min_split_gain,0.0
n_estimators,2600
n_jobs,-1
num_leaves,7
objective,binary
random_state,
reg_alpha,1.3
reg_lambda,0.1
silent,warn
subsample,0.5597576125719046
subsample_for_bin,439614
subsample_freq,0
metric,binary_logloss
verbose,1
boost_from_average,True
force_col_wise,true
max_bin,146
scale_pos_weight,0.7000000000000002
cv,5
scoring,precision
num_col,110
iterations,10
best_score,0.7
best_index,7.0
acc_train,0.7967032967032966
acc_val,0.7391304347826086
acc_test,0.5
precision,1.0
recall,0.12121212121212122
f1score,0.21621621621621626
roc,0.5606060606060606
tn,25.0
fp,0.0
fn,29.0
tp,4.0
acc_test1,0.3157894736842105
precision1,1.0
recall1,0.13333333333333333
f1score1,0.23529411764705882
roc1,0.5666666666666667
tn1,4.0
fp1,0.0
fn1,13.0
tp1,2.0
acc_test2,0.5789473684210527
precision2,0.0
recall2,0.0
f1score2,0.0
roc2,0.5
tn2,11.0
fp2,0.0
fn2,8.0
tp2,0.0
acc_test3,0.6
precision3,1.0
recall3,0.2
f1score3,0.33333333333333337
roc3,0.6
tn3,10.0
fp3,0.0
fn3,8.0
tp3,2.0
