parameter,value1,value2,value3
boosting_type,gbdt,gbdt,gbdt
class_weight,,,
colsample_bytree,0.1677891427453575,0.10933486275994007,0.1677891427453575
importance_type,split,split,split
learning_rate,0.0019162589666810593,0.00020003937281998327,0.0019162589666810593
max_depth,23,8,23
min_child_samples,32,25,32
min_child_weight,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0
n_estimators,1982,6831,5327
n_jobs,-1,-1,-1
num_leaves,10,11,10
objective,binary,binary,binary
random_state,,,
reg_alpha,0.0,0.4,0.0
reg_lambda,0.9,1.0,0.9
silent,warn,warn,warn
subsample,0.2639494323813032,0.36433471742398227,0.2639494323813032
subsample_for_bin,358803,797833,552904
subsample_freq,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1
boost_from_average,True,False,True
force_col_wise,true,true,true
max_bin,435,508,435
scale_pos_weight,1.8000000000000005,1.0000000000000002,1.8000000000000005
cv,5,5,5
scoring,precision,precision,precision
num_col,110,110,110
iterations,10,10,10
best_score,0.5872893772893774,0.5930555555555556,0.5907342657342658
best_index,5.0,2.0,5.0
acc_train,0.8641304347826086,0.8858695652173914,1.0
acc_val,0.5869565217391305,0.5652173913043478,0.5217391304347826
acc_test,0.5172413793103449,0.603448275862069,0.5517241379310345
precision,0.4473684210526316,0.5263157894736842,0.46875
recall,0.7083333333333334,0.4166666666666667,0.625
f1score,0.5483870967741936,0.46511627906976744,0.5357142857142857
roc,0.545343137254902,0.5759803921568628,0.5625
tn,13.0,25.0,17.0
fp,21.0,9.0,17.0
fn,7.0,14.0,9.0
tp,17.0,10.0,15.0
acc_test1,0.631578947368421,0.5789473684210527,0.631578947368421
precision1,0.7,0.8,0.7
recall1,0.6363636363636364,0.36363636363636365,0.6363636363636364
f1score1,0.6666666666666666,0.5000000000000001,0.6666666666666666
roc1,0.6306818181818181,0.6193181818181819,0.6306818181818181
tn1,5.0,7.0,5.0
fp1,3.0,1.0,3.0
fn1,4.0,7.0,4.0
tp1,7.0,4.0,7.0
acc_test2,0.5789473684210527,0.7368421052631579,0.5789473684210527
precision2,0.46153846153846156,0.75,0.4444444444444444
recall2,0.8571428571428571,0.42857142857142855,0.5714285714285714
f1score2,0.6,0.5454545454545454,0.5
roc2,0.6369047619047619,0.6726190476190477,0.5773809523809523
tn2,5.0,11.0,7.0
fp2,7.0,1.0,5.0
fn2,1.0,4.0,3.0
tp2,6.0,3.0,4.0
acc_test3,0.35,0.5,0.45
precision3,0.26666666666666666,0.3,0.3076923076923077
recall3,0.6666666666666666,0.5,0.6666666666666666
f1score3,0.3809523809523809,0.37499999999999994,0.42105263157894735
roc3,0.44047619047619047,0.5,0.5119047619047619
tn3,3.0,7.0,5.0
fp3,11.0,7.0,9.0
fn3,2.0,3.0,2.0
tp3,4.0,3.0,4.0
