parameter,value4,value6
boosting_type,dart,gbdt
class_weight,,
colsample_bytree,0.34012609291884177,0.11428221073486305
importance_type,split,split
learning_rate,0.00018677533500210326,0.0025530908903477183
max_depth,43,45
min_child_samples,40,31
min_child_weight,2,6
min_split_gain,0.0,0.0
n_estimators,7000,5163
n_jobs,-1,-1
num_leaves,10,6
objective,binary,binary
random_state,30,30
reg_alpha,3.5,3.9000000000000004
reg_lambda,3.3000000000000003,1.2000000000000002
silent,warn,warn
subsample,0.541065017233757,0.172469584677607
subsample_for_bin,309260,1000000
subsample_freq,0,0
verbose,1,1
boost_from_average,False,False
force_col_wise,true,true
max_bin,784,100
metric,binary_logloss,binary_logloss
scale_pos_weight,0.7000000000000002,0.6000000000000001
cv,5,3
scoring,precision,precision
num_col,110,110
iterations,50,50
best_score,0.7157203907203907,0.7205882352941176
best_index,13.0,37.0
acc_train,0.6666666666666666,0.75
acc_val,0.6041666666666666,0.5625
acc_test,0.6666666666666666,0.6833333333333333
precision,0.5833333333333334,0.7142857142857143
recall,0.3181818181818182,0.22727272727272727
f1score,0.4117647058823529,0.3448275862068965
roc,0.5933014354066986,0.5873205741626795
tn,33.0,36.0
fp,5.0,2.0
fn,15.0,17.0
tp,7.0,5.0
acc_test1,0.6,0.6
precision1,0.6,1.0
recall1,0.3333333333333333,0.1111111111111111
f1score1,0.42857142857142855,0.19999999999999998
roc1,0.5757575757575757,0.5555555555555556
tn1,9.0,11.0
fp1,2.0,0.0
fn1,6.0,8.0
tp1,3.0,1.0
acc_test2,0.75,0.85
precision2,0.5,0.75
recall2,0.4,0.6
f1score2,0.4444444444444445,0.6666666666666665
roc2,0.6333333333333333,0.7666666666666667
tn2,13.0,14.0
fp2,2.0,1.0
fn2,3.0,2.0
tp2,2.0,3.0
acc_test3,0.65,0.6
precision3,0.6666666666666666,0.5
recall3,0.25,0.125
f1score3,0.36363636363636365,0.2
roc3,0.5833333333333333,0.5208333333333334
tn3,11.0,11.0
fp3,1.0,1.0
fn3,6.0,7.0
tp3,2.0,1.0
