parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
boosting_type,gbdt,gbdt,dart,dart,dart,dart,gbdt,dart,dart,gbdt
class_weight,,,,,,,,,,
colsample_bytree,0.9332036588535947,0.872293668820899,0.528987135942054,0.528987135942054,0.528987135942054,0.528987135942054,0.872293668820899,0.528987135942054,0.528987135942054,0.9417007884481382
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.00040783886902393755,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.0028055967090060275,0.00040783886902393755,0.0028055967090060275,0.0028055967090060275,0.0031022747053078225
max_depth,18,0,21,21,21,21,0,21,21,25
min_child_samples,16,26,20,20,20,20,26,20,20,20
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03595530070726917,0.03595530070726917,0.013194933986700647
n_estimators,2190,1105,1512,1512,1512,1512,1105,2217,2217,2163
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,10,12,11,11,11,11,12,9,9,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,
reg_alpha,0.30000000000000004,0.2,3.4000000000000004,1.7000000000000002,3.4000000000000004,3.4000000000000004,0.5,1.0,1.0,0.0
reg_lambda,1.2000000000000002,0.4,1.0,0.5,1.0,1.0,0.7000000000000001,1.0,1.0,0.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.40764193647046626,0.27154694635746074,0.27154694635746074,0.27154694635746074,0.27154694635746074,0.40764193647046626,0.9860608005968848,0.9860608005968848,0.5201006453469831
subsample_for_bin,373099,398451,494396,494396,494396,691594,398451,116672,116672,100000
subsample_freq,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,True,True,True,True,True,True,True,True,False
force_col_wise,true,true,true,true,true,true,true,true,true,true
max_bin,473,290,745,745,745,745,290,745,745,268
scale_pos_weight,0.30000000000000004,0.8000000000000003,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.8000000000000003,0.7000000000000002,0.7000000000000002,0.2
cv,5,5,5,5,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,81,81,81,110,110,110,110,110,110
iterations,10,10,10,10,10,10,10,10,15,15
best_score,0.6833333333333333,0.7,0.7297619047619048,0.6209523809523809,0.6683333333333333,0.6683333333333333,0.64,0.5836691086691086,0.5836691086691086,0.5942857142857143
best_index,0.0,8.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,11.0
acc_train,0.7692307692307693,0.7142857142857143,0.7967032967032966,0.8461538461538461,0.8076923076923077,0.8076923076923077,0.7032967032967034,0.8956043956043956,0.8956043956043956,0.989010989010989
acc_val,0.6304347826086957,0.6086956521739131,0.6086956521739131,0.6521739130434783,0.5869565217391305,0.5869565217391305,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
acc_test,0.43103448275862066,0.5172413793103449,0.46551724137931033,0.5344827586206896,0.5,0.5,0.5,0.4827586206896552,0.4827586206896552,0.3620689655172414
precision,0.14285714285714285,0.5,0.4,0.5263157894736842,0.47058823529411764,0.47058823529411764,0.4444444444444444,0.45,0.45,0.15384615384615385
recall,0.03571428571428571,0.17857142857142858,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.32142857142857145,0.32142857142857145,0.07142857142857142
f1score,0.05714285714285715,0.2631578947368421,0.27906976744186046,0.425531914893617,0.35555555555555557,0.35555555555555557,0.21621621621621623,0.375,0.375,0.0975609756097561
roc,0.4178571428571429,0.5059523809523809,0.4571428571428571,0.5285714285714286,0.49285714285714277,0.49285714285714277,0.4880952380952381,0.47738095238095235,0.47738095238095235,0.35238095238095235
tn,24.0,25.0,21.0,21.0,21.0,21.0,25.0,19.0,19.0,19.0
fp,6.0,5.0,9.0,9.0,9.0,9.0,5.0,11.0,11.0,11.0
fn,27.0,23.0,22.0,18.0,20.0,20.0,24.0,19.0,19.0,26.0
