parameter,value1,value2,value3,value4,value5,value6
boosting_type,gbdt,dart,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.10933486275994007,0.528987135942054,0.10933486275994007,0.10933486275994007,0.872293668820899,0.10933486275994007
importance_type,split,split,split,split,split,split
learning_rate,0.00020003937281998327,0.0028055967090060275,0.00020003937281998327,0.00020003937281998327,0.00040783886902393755,0.00020003937281998327
max_depth,8,8,3,8,0,8
min_child_samples,20,20,25,25,14,25
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.05617670188034634,0.0,0.0,0.0,0.0,0.0
n_estimators,2938,1512,2938,2938,1105,2938
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,11,11,11,11,12,11
objective,binary,binary,binary,binary,binary,binary
random_state,,,,,,
reg_alpha,0.6000000000000001,2.6,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001
reg_lambda,1.5,0.7000000000000001,1.5,1.5,0.5,1.5
silent,warn,warn,warn,warn,warn,warn
subsample,0.36433471742398227,0.27154694635746074,0.36433471742398227,0.36433471742398227,0.40764193647046626,0.36433471742398227
subsample_for_bin,498762,494396,498762,498762,398451,997214
subsample_freq,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1
boost_from_average,False,True,False,False,True,False
force_col_wise,true,true,true,true,true,true
max_bin,508,745,508,508,290,508
scale_pos_weight,0.9,0.6,0.9,0.9,0.8,0.9
cv,5,5,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110
iterations,10,10,10,10,10,10
best_score,0.6011904761904762,0.7033333333333334,0.6398717948717948,0.6398717948717948,0.6407142857142857,0.6398717948717948
best_index,2.0,4.0,2.0,2.0,8.0,2.0
acc_train,0.8516483516483516,0.7692307692307693,0.7967032967032966,0.8021978021978022,0.7692307692307693,0.8021978021978022
acc_val,0.5869565217391305,0.6086956521739131,0.5652173913043478,0.5869565217391305,0.6304347826086957,0.5869565217391305
acc_test,0.5517241379310345,0.5,0.5172413793103449,0.5172413793103449,0.5,0.5172413793103449
precision,0.5625,0.46153846153846156,0.5,0.5,0.45454545454545453,0.5
recall,0.32142857142857145,0.21428571428571427,0.32142857142857145,0.32142857142857145,0.17857142857142858,0.32142857142857145
f1score,0.40909090909090917,0.2926829268292683,0.391304347826087,0.391304347826087,0.25641025641025644,0.391304347826087
roc,0.544047619047619,0.4904761904761904,0.5107142857142857,0.5107142857142857,0.4892857142857143,0.5107142857142857
tn,23.0,23.0,21.0,21.0,24.0,21.0
fp,7.0,7.0,9.0,9.0,6.0,9.0
fn,19.0,22.0,19.0,19.0,23.0,19.0
tp,9.0,6.0,9.0,9.0,5.0,9.0
acc_test1,0.42105263157894735,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.42105263157894735
precision1,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.75,0.5714285714285714
recall1,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333
f1score1,0.4210526315789474,0.3333333333333333,0.4210526315789474,0.4210526315789474,0.375,0.4210526315789474
roc1,0.45238095238095233,0.41071428571428564,0.45238095238095233,0.45238095238095233,0.5535714285714287,0.45238095238095233
tn1,4.0,4.0,4.0,4.0,6.0,4.0
fp1,3.0,3.0,3.0,3.0,1.0,3.0
fn1,8.0,9.0,8.0,8.0,9.0,8.0
tp1,4.0,3.0,4.0,4.0,3.0,4.0
acc_test2,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
precision2,0.5,0.5,0.5,0.5,0.5,0.5
recall2,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
f1score2,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.36363636363636365,0.22222222222222224
roc2,0.5297619047619047,0.5297619047619047,0.5297619047619047,0.5297619047619047,0.5595238095238095,0.5297619047619047
tn2,11.0,11.0,11.0,11.0,10.0,11.0
fp2,1.0,1.0,1.0,1.0,2.0,1.0
fn2,6.0,6.0,6.0,6.0,5.0,6.0
tp2,1.0,1.0,1.0,1.0,2.0,1.0
acc_test3,0.6,0.5,0.5,0.5,0.4,0.5
precision3,0.5714285714285714,0.4,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444
recall3,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444
f1score3,0.5,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444
roc3,0.5858585858585859,0.47474747474747475,0.4949494949494949,0.4949494949494949,0.36363636363636365,0.4949494949494949
tn3,8.0,8.0,6.0,6.0,8.0,6.0
fp3,3.0,3.0,5.0,5.0,3.0,5.0
fn3,5.0,7.0,5.0,5.0,9.0,5.0
tp3,4.0,2.0,4.0,4.0,0.0,4.0
