parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
boosting_type,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,dart
class_weight,,,,,,,,,,,,,,,
colsample_bytree,0.10933486275994007,0.528987135942054,0.10933486275994007,0.10933486275994007,0.872293668820899,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.10933486275994007,0.49898437007873314,0.005,0.10933486275994007,0.10933486275994007,0.528987135942054
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.00020003937281998327,0.0028055967090060275,0.00020003937281998327,0.00020003937281998327,0.00040783886902393755,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327,0.00020003937281998327,0.0003304939642148201,0.003824577856412069,0.00020003937281998327,0.00020003937281998327,0.0028055967090060275
max_depth,8,8,3,8,0,8,8,8,8,8,29,50,8,8,21
min_child_samples,20,20,25,25,14,25,25,25,25,36,26,15,36,36,24
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.05617670188034634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2938,1512,2938,2938,1105,2938,2938,2938,2938,2938,4252,5000,4885,4885,3536
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,11,11,11,11,12,11,11,11,11,15,9,15,15,15,12
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,,,,,,,,
reg_alpha,0.6000000000000001,2.6,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,2.0,0.6000000000000001,1.0,2.0,0.5
reg_lambda,1.5,0.7000000000000001,1.5,1.5,0.5,1.5,1.5,1.5,1.5,1.5,0.2,2.9000000000000004,2.5,5.0,1.0
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.36433471742398227,0.27154694635746074,0.36433471742398227,0.36433471742398227,0.40764193647046626,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.36433471742398227,0.5597576125719046,0.9210305099185864,0.36433471742398227,0.36433471742398227,0.9860608005968848
subsample_for_bin,498762,494396,498762,498762,398451,997214,997214,997214,997214,997214,864131,100000,997214,997214,137513
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,508,745,508,508,290,508,508,508,508,508,146,1000,508,508,745
scale_pos_weight,0.9,0.6,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.6,0.7000000000000001,0.9,0.9,0.6
cv,5,5,5,5,5,5,10,10,7,7,7,5,5,5,5
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
iterations,10,10,10,10,10,10,10,15,10,10,10,15,15,15,15
best_score,0.6011904761904762,0.7033333333333334,0.6398717948717948,0.6398717948717948,0.6407142857142857,0.6398717948717948,0.6142857142857143,0.6142857142857143,0.5845238095238096,0.6246598639455783,0.655952380952381,0.7,0.6061904761904762,0.6545454545454545,0.6045454545454545
best_index,2.0,4.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,7.0,13.0,2.0,2.0,4.0
acc_train,0.8516483516483516,0.7692307692307693,0.7967032967032966,0.8021978021978022,0.7692307692307693,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.7362637362637363,0.7362637362637363,0.8956043956043956,0.7527472527472527,0.7197802197802198,0.9010989010989011
acc_val,0.5869565217391305,0.6086956521739131,0.5652173913043478,0.5869565217391305,0.6304347826086957,0.5869565217391305,0.5869565217391305,0.5869565217391305,0.5869565217391305,0.6304347826086957,0.6304347826086957,0.5652173913043478,0.6521739130434783,0.6521739130434783,0.6304347826086957
acc_test,0.5517241379310345,0.5,0.5172413793103449,0.5172413793103449,0.5,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5344827586206896,0.4482758620689655,0.4482758620689655,0.5517241379310345,0.5344827586206896,0.43103448275862066
precision,0.5625,0.46153846153846156,0.5,0.5,0.45454545454545453,0.5,0.5,0.5,0.5,0.5333333333333333,0.25,0.3,0.5625,0.5333333333333333,0.3684210526315789
recall,0.32142857142857145,0.21428571428571427,0.32142857142857145,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.32142857142857145,0.2857142857142857,0.25
f1score,0.40909090909090917,0.2926829268292683,0.391304347826087,0.391304347826087,0.25641025641025644,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.37209302325581395,0.11111111111111112,0.15789473684210525,0.40909090909090917,0.37209302325581395,0.2978723404255319
roc,0.544047619047619,0.4904761904761904,0.5107142857142857,0.5107142857142857,0.4892857142857143,0.5107142857142857,0.5107142857142857,0.5107142857142857,0.5107142857142857,0.5261904761904761,0.4357142857142857,0.4369047619047619,0.544047619047619,0.5261904761904761,0.425
tn,23.0,23.0,21.0,21.0,24.0,21.0,21.0,21.0,21.0,23.0,24.0,23.0,23.0,23.0,18.0
fp,7.0,7.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,7.0,6.0,7.0,7.0,7.0,12.0
fn,19.0,22.0,19.0,19.0,23.0,19.0,19.0,19.0,19.0,20.0,26.0,25.0,19.0,20.0,21.0
tp,9.0,6.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,8.0,2.0,3.0,9.0,8.0,7.0
acc_test1,0.42105263157894735,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.42105263157894735,0.3684210526315789,0.47368421052631576
precision1,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,0.5714285714285714,0.5,0.625
recall1,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.0,0.3333333333333333,0.25,0.4166666666666667
f1score1,0.4210526315789474,0.3333333333333333,0.4210526315789474,0.4210526315789474,0.375,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.3333333333333333,0.25,0.0,0.4210526315789474,0.3333333333333333,0.5
roc1,0.45238095238095233,0.41071428571428564,0.45238095238095233,0.45238095238095233,0.5535714285714287,0.45238095238095233,0.45238095238095233,0.45238095238095233,0.45238095238095233,0.41071428571428564,0.44047619047619047,0.35714285714285715,0.45238095238095233,0.41071428571428564,0.49404761904761907
tn1,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
fp1,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
fn1,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,8.0,9.0,7.0
