parameter,value1,value2
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.872293668820899,0.49898437007873314
importance_type,split,split
learning_rate,0.00040783886902393755,0.0003304939642148201
max_depth,0,29
min_child_samples,26,19
min_child_weight,0.001,8
min_split_gain,0.0,0.0
n_estimators,1105,1545
n_jobs,-1,-1
num_leaves,12,10
objective,binary,binary
random_state,,
reg_alpha,0.2,0.1
reg_lambda,0.4,0.5
silent,warn,warn
subsample,0.40764193647046626,0.8497893690756705
subsample_for_bin,398451,115208
subsample_freq,0,0
metric,binary_logloss,binary_logloss
verbose,1,1
boost_from_average,True,True
force_col_wise,true,true
max_bin,290,146
scale_pos_weight,0.8000000000000003,1.1000000000000003
cv,5,5
scoring,precision,precision
num_col,110,110
iterations,10,10
best_score,0.7,0.8666666666666666
best_index,8.0,7.0
acc_train,0.6775956284153005,0.7759562841530054
acc_val,0.6086956521739131,0.6086956521739131
acc_test,0.46551724137931033,0.5
precision,0.3333333333333333,0.5
recall,0.06896551724137931,0.10344827586206896
f1score,0.1142857142857143,0.17142857142857143
roc,0.4655172413793103,0.5
tn,25.0,26.0
fp,4.0,3.0
fn,27.0,26.0
tp,2.0,3.0
acc_test1,0.3684210526315789,0.42105263157894735
precision1,0.5,1.0
recall1,0.08333333333333333,0.08333333333333333
f1score1,0.14285714285714285,0.15384615384615385
roc1,0.47023809523809523,0.5416666666666666
tn1,6.0,7.0
fp1,1.0,0.0
fn1,11.0,11.0
tp1,1.0,1.0
acc_test2,0.5263157894736842,0.5789473684210527
precision2,0.0,0.5
recall2,0.0,0.125
f1score2,0.0,0.2
roc2,0.45454545454545453,0.5170454545454546
tn2,10.0,10.0
fp2,1.0,1.0
fn2,8.0,7.0
tp2,0.0,1.0
acc_test3,0.5,0.5
precision3,0.3333333333333333,0.3333333333333333
recall3,0.1111111111111111,0.1111111111111111
f1score3,0.16666666666666666,0.16666666666666666
roc3,0.46464646464646464,0.46464646464646464
tn3,9.0,9.0
fp3,2.0,2.0
fn3,8.0,8.0
tp3,1.0,1.0
