parameter,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66
boosting_type,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart,dart
class_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colsample_bytree,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674,0.6000568421245674
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295,0.0006885907876058295
max_depth,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
min_child_samples,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
