parameter,value1,value2,value3,value4
boosting_type,gbdt,gbdt,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.5,0.7,0.8,0.8
importance_type,split,split,split,split
learning_rate,0.001,0.0005,0.0002,0.0002
max_depth,-1,-1,-1,-1
min_child_samples,20,20,20,20
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1100,1000,900,900
n_jobs,-1,-1,-1,-1
num_leaves,6,5,5,4
objective,binary,binary,binary,binary
random_state,42,42,42,42
reg_alpha,0.0,0.0,0.0,0.0
reg_lambda,0.0,0.0,0.0,0.0
silent,warn,warn,warn,warn
subsample,0.6,0.5,0.4,0.3
subsample_for_bin,200000,200000,200000,200000
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.5,1.0,1.0,1.0
cv,,,,
scoring,precision,precision,precision,precision
num_col,110,110,110,110
best_score,0.6319047619047619,0.638011988011988,0.6778388278388279,0.6778388278388279
best_index,3.0,1620.0,720.0,432.0
acc_train,0.8285714285714286,0.819047619047619,0.7904761904761904,0.7904761904761904
acc_val,0.5185185185185185,0.4444444444444444,0.37037037037037035,0.37037037037037035
acc_test,0.5151515151515151,0.5454545454545454,0.48484848484848486,0.48484848484848486
precision,0.4642857142857143,0.48,0.4444444444444444,0.4444444444444444
recall,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571
f1score,0.6190476190476191,0.6153846153846153,0.5853658536585367,0.5853658536585367
roc,0.5695488721804511,0.5864661654135338,0.5338345864661653,0.5338345864661653
tn,4.0,6.0,4.0,4.0
fp,15.0,13.0,15.0,15.0
fn,1.0,2.0,2.0,2.0
tp,13.0,12.0,12.0,12.0
acc_test1,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.36363636363636365
precision1,0.4,0.375,0.3333333333333333,0.3333333333333333
recall1,1.0,0.75,0.75,0.75
f1score1,0.5714285714285715,0.5,0.46153846153846156,0.46153846153846156
roc1,0.5714285714285714,0.5178571428571428,0.44642857142857145,0.44642857142857145
tn1,1.0,2.0,1.0,1.0
fp1,6.0,5.0,6.0,6.0
fn1,0.0,1.0,1.0,1.0
tp1,4.0,3.0,3.0,3.0
acc_test2,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454
precision2,0.5,0.5555555555555556,0.5,0.5
recall2,1.0,1.0,1.0,1.0
f1score2,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6666666666666666
roc2,0.5833333333333333,0.6666666666666667,0.5833333333333333,0.5833333333333333
tn2,1.0,2.0,1.0,1.0
fp2,5.0,4.0,5.0,5.0
fn2,0.0,0.0,0.0,0.0
tp2,5.0,5.0,5.0,5.0
acc_test3,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
precision3,0.5,0.5,0.5,0.5
recall3,0.8,0.8,0.8,0.8
f1score3,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
roc3,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
tn3,2.0,2.0,2.0,2.0
fp3,4.0,4.0,4.0,4.0
fn3,1.0,1.0,1.0,1.0
tp3,4.0,4.0,4.0,4.0
