parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.4
importance_type,split
learning_rate,0.002
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1300
n_jobs,-1
num_leaves,4
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,0.2
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.5
cv,
scoring,precision
num_col,110
best_score,0.4893939393939394
best_index,724.0
acc_train,0.9024390243902439
acc_val,0.38095238095238093
acc_test,0.5
precision,0.4375
recall,0.6363636363636364
f1score,0.5185185185185185
roc,0.5181818181818182
tn,6.0
fp,9.0
fn,4.0
tp,7.0
acc_test1,0.375
precision1,0.25
recall1,0.3333333333333333
f1score1,0.28571428571428575
roc1,0.36666666666666664
tn1,2.0
fp1,3.0
fn1,2.0
tp1,1.0
acc_test2,0.5
precision2,0.5
recall2,0.5
f1score2,0.5
roc2,0.5
tn2,2.0
fp2,2.0
fn2,2.0
tp2,2.0
acc_test3,0.6
precision3,0.5
recall3,1.0
f1score3,0.6666666666666666
roc3,0.6666666666666667
tn3,2.0
fp3,4.0
fn3,0.0
tp3,4.0
